,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2004-01-01,4676.75958445
6,S,Sul,2004-01-02,5660.6129157
10,S,Sul,2004-01-03,5713.90749888
14,S,Sul,2004-01-04,5353.28667048
18,S,Sul,2004-01-05,7008.54833598
22,S,Sul,2004-01-06,7453.86625031
26,S,Sul,2004-01-07,7746.03333211
30,S,Sul,2004-01-08,7817.45624969
34,S,Sul,2004-01-09,7889.39208674
38,S,Sul,2004-01-10,6963.36958054
42,S,Sul,2004-01-11,5848.46833125
46,S,Sul,2004-01-12,7444.87750132
50,S,Sul,2004-01-13,7737.36333394
54,S,Sul,2004-01-14,7793.4733311
58,S,Sul,2004-01-15,7906.98791489
62,S,Sul,2004-01-16,7896.29875051
66,S,Sul,2004-01-17,6935.0104155
70,S,Sul,2004-01-18,5866.24292109
74,S,Sul,2004-01-19,7623.5708344
78,S,Sul,2004-01-20,7846.8720871
82,S,Sul,2004-01-21,7916.60583267
86,S,Sul,2004-01-22,8007.61083349
90,S,Sul,2004-01-23,8056.52749939
94,S,Sul,2004-01-24,7050.23875173
98,S,Sul,2004-01-25,5833.36958354
102,S,Sul,2004-01-26,7736.97125183
106,S,Sul,2004-01-27,8028.76749761
110,S,Sul,2004-01-28,8218.85833176
114,S,Sul,2004-01-29,8182.75541595
118,S,Sul,2004-01-30,8068.30208669
122,S,Sul,2004-01-31,7101.06958908
126,S,Sul,2004-02-01,6024.19499674
130,S,Sul,2004-02-02,7672.59999995
134,S,Sul,2004-02-03,8160.13000346
138,S,Sul,2004-02-04,8233.99624807
142,S,Sul,2004-02-05,8114.51166835
146,S,Sul,2004-02-06,7811.48791651
150,S,Sul,2004-02-07,6707.17750086
154,S,Sul,2004-02-08,5662.60000173
158,S,Sul,2004-02-09,7468.32958679
162,S,Sul,2004-02-10,7805.72708247
166,S,Sul,2004-02-11,7963.72416631
170,S,Sul,2004-02-12,8163.70583282
174,S,Sul,2004-02-13,8195.22124812
178,S,Sul,2004-02-14,7029.87916636
182,S,Sul,2004-02-15,5774.87166545
186,S,Sul,2004-02-16,7640.9283371
190,S,Sul,2004-02-17,8080.65499919
194,S,Sul,2004-02-18,8207.45249985
198,S,Sul,2004-02-19,8137.28708349
202,S,Sul,2004-02-20,7895.33958181
206,S,Sul,2004-02-21,6880.14208211
210,S,Sul,2004-02-22,5787.80999863
214,S,Sul,2004-02-23,6963.40458384
218,S,Sul,2004-02-24,6903.31500046
222,S,Sul,2004-02-25,7801.7299998
226,S,Sul,2004-02-26,8157.98791773
230,S,Sul,2004-02-27,8136.40499725
234,S,Sul,2004-02-28,7065.90041504
238,S,Sul,2004-02-29,6017.99166636
242,S,Sul,2004-03-01,7839.54916407
246,S,Sul,2004-03-02,8206.29541468
250,S,Sul,2004-03-03,8098.59708216
254,S,Sul,2004-03-04,7987.8325031
258,S,Sul,2004-03-05,8026.20708969
262,S,Sul,2004-03-06,7206.55666692
266,S,Sul,2004-03-07,6167.74791555
270,S,Sul,2004-03-08,8166.60750153
274,S,Sul,2004-03-09,8343.78166351
278,S,Sul,2004-03-10,8459.79041417
282,S,Sul,2004-03-11,8238.70499807
286,S,Sul,2004-03-12,7949.86208308
290,S,Sul,2004-03-13,7000.0887531
294,S,Sul,2004-03-14,5886.19791616
298,S,Sul,2004-03-15,7832.56250178
302,S,Sul,2004-03-16,8091.14918259
306,S,Sul,2004-03-17,8088.43416784
310,S,Sul,2004-03-18,8117.36124812
314,S,Sul,2004-03-19,7969.52874985
318,S,Sul,2004-03-20,6876.25916672
322,S,Sul,2004-03-21,5764.84208094
326,S,Sul,2004-03-22,7584.17000544
330,S,Sul,2004-03-23,7866.39625193
334,S,Sul,2004-03-24,7928.39500071
338,S,Sul,2004-03-25,7950.70082891
342,S,Sul,2004-03-26,8006.4120811
346,S,Sul,2004-03-27,7074.93708008
350,S,Sul,2004-03-28,5894.8279154
354,S,Sul,2004-03-29,7813.42291316
358,S,Sul,2004-03-30,8185.23583008
362,S,Sul,2004-03-31,8211.40583715
366,S,Sul,2004-04-01,8275.77041529
370,S,Sul,2004-04-02,8350.49916656
374,S,Sul,2004-04-03,7187.51582682
378,S,Sul,2004-04-04,6062.13583522
382,S,Sul,2004-04-05,7975.25332926
386,S,Sul,2004-04-06,8283.65124725
390,S,Sul,2004-04-07,8387.46500081
394,S,Sul,2004-04-08,8167.03958389
398,S,Sul,2004-04-09,5899.44208104
402,S,Sul,2004-04-10,6147.5287527
406,S,Sul,2004-04-11,5474.72791555
410,S,Sul,2004-04-12,7743.5795842
414,S,Sul,2004-04-13,8247.87791214
418,S,Sul,2004-04-14,8346.07791606
422,S,Sul,2004-04-15,8277.13583542
426,S,Sul,2004-04-16,8273.84958445
430,S,Sul,2004-04-17,7218.51416626
434,S,Sul,2004-04-18,5912.35624868
438,S,Sul,2004-04-19,7657.05416748
442,S,Sul,2004-04-20,7638.00541489
446,S,Sul,2004-04-21,6764.57249914
450,S,Sul,2004-04-22,7906.09708664
454,S,Sul,2004-04-23,7978.75083186
