,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2005-01-01,5623.14666748
6,S,Sul,2005-01-02,5843.43333583
10,S,Sul,2005-01-03,7521.5745812
14,S,Sul,2005-01-04,7801.79583191
18,S,Sul,2005-01-05,8091.09583405
22,S,Sul,2005-01-06,8416.52625102
26,S,Sul,2005-01-07,8500.90458267
30,S,Sul,2005-01-08,7704.10541438
34,S,Sul,2005-01-09,6718.49500188
38,S,Sul,2005-01-10,8332.10624812
42,S,Sul,2005-01-11,8474.90000086
46,S,Sul,2005-01-12,8574.2691655
50,S,Sul,2005-01-13,8635.56083206
54,S,Sul,2005-01-14,8688.00458298
58,S,Sul,2005-01-15,7545.96958145
62,S,Sul,2005-01-16,6171.31666361
66,S,Sul,2005-01-17,7906.95083394
70,S,Sul,2005-01-18,8347.97291677
74,S,Sul,2005-01-19,8566.34333384
78,S,Sul,2005-01-20,8491.64458221
82,S,Sul,2005-01-21,8346.32333399
86,S,Sul,2005-01-22,7489.30666814
90,S,Sul,2005-01-23,6610.7662529
94,S,Sul,2005-01-24,8552.92000214
98,S,Sul,2005-01-25,8385.74750041
102,S,Sul,2005-01-26,8031.391253
106,S,Sul,2005-01-27,8066.41916687
110,S,Sul,2005-01-28,8246.46000387
114,S,Sul,2005-01-29,7514.87374837
118,S,Sul,2005-01-30,6499.6054159
122,S,Sul,2005-01-31,8500.15416712
126,S,Sul,2005-02-01,8574.77791687
130,S,Sul,2005-02-02,8244.90208267
134,S,Sul,2005-02-03,8289.03708298
138,S,Sul,2005-02-04,8363.51916631
142,S,Sul,2005-02-05,7350.14833633
146,S,Sul,2005-02-06,6225.08042007
150,S,Sul,2005-02-07,7323.63625117
154,S,Sul,2005-02-08,7183.75083221
158,S,Sul,2005-02-09,8209.06833593
162,S,Sul,2005-02-10,8563.50208522
166,S,Sul,2005-02-11,8513.29499944
170,S,Sul,2005-02-12,7396.56499781
174,S,Sul,2005-02-13,6323.02500081
178,S,Sul,2005-02-14,8245.76916728
182,S,Sul,2005-02-15,8468.57791677
186,S,Sul,2005-02-16,8635.97208043
190,S,Sul,2005-02-17,8776.18458115
194,S,Sul,2005-02-18,8816.71083125
198,S,Sul,2005-02-19,7791.06333272
202,S,Sul,2005-02-20,6707.56458455
206,S,Sul,2005-02-21,8572.33666916
210,S,Sul,2005-02-22,8884.34166417
214,S,Sul,2005-02-23,8921.14916397
218,S,Sul,2005-02-24,8969.5933372
222,S,Sul,2005-02-25,8767.25333069
226,S,Sul,2005-02-26,7753.61582957
230,S,Sul,2005-02-27,6559.1345842
234,S,Sul,2005-02-28,8611.31666245
238,S,Sul,2005-03-01,8682.9629187
242,S,Sul,2005-03-02,8542.75374781
246,S,Sul,2005-03-03,8464.84708435
250,S,Sul,2005-03-04,8559.10625092
254,S,Sul,2005-03-05,7620.77541534
258,S,Sul,2005-03-06,6654.89124842
262,S,Sul,2005-03-07,8787.14166382
266,S,Sul,2005-03-08,9194.84375178
270,S,Sul,2005-03-09,9095.19083033
274,S,Sul,2005-03-10,9091.1195845
278,S,Sul,2005-03-11,9256.49000081
282,S,Sul,2005-03-12,8082.89416158
286,S,Sul,2005-03-13,6690.27375214
290,S,Sul,2005-03-14,8475.61666697
294,S,Sul,2005-03-15,8484.21249975
298,S,Sul,2005-03-16,8644.08125376
302,S,Sul,2005-03-17,8794.59124669
306,S,Sul,2005-03-18,8919.03374954
310,S,Sul,2005-03-19,7684.43917221
314,S,Sul,2005-03-20,6622.16208405
318,S,Sul,2005-03-21,8767.12458445
322,S,Sul,2005-03-22,8825.94541428
326,S,Sul,2005-03-23,8493.84499868
330,S,Sul,2005-03-24,8179.22083455
334,S,Sul,2005-03-25,6018.47458155
338,S,Sul,2005-03-26,6478.30958603
342,S,Sul,2005-03-27,5912.70624969
346,S,Sul,2005-03-28,8286.03958069
350,S,Sul,2005-03-29,8744.93290894
354,S,Sul,2005-03-30,8742.39124695
358,S,Sul,2005-03-31,8634.98666168
362,S,Sul,2005-04-01,8505.46458099
366,S,Sul,2005-04-02,7367.08999964
370,S,Sul,2005-04-03,6092.49291478
374,S,Sul,2005-04-04,7762.48791977
378,S,Sul,2005-04-05,8107.76124878
382,S,Sul,2005-04-06,8411.28666946
386,S,Sul,2005-04-07,8832.09541448
390,S,Sul,2005-04-08,8618.73291575
394,S,Sul,2005-04-09,7315.74000463
398,S,Sul,2005-04-10,6232.27875498
402,S,Sul,2005-04-11,8539.86458791
406,S,Sul,2005-04-12,8645.88291738
410,S,Sul,2005-04-13,8500.4270905
414,S,Sul,2005-04-14,8565.49208191
418,S,Sul,2005-04-15,8463.0237502
422,S,Sul,2005-04-16,7262.22416509
426,S,Sul,2005-04-17,6034.22541575
430,S,Sul,2005-04-18,7992.02208277
434,S,Sul,2005-04-19,8318.5170844
438,S,Sul,2005-04-20,8193.12833689
442,S,Sul,2005-04-21,6795.7441628
446,S,Sul,2005-04-22,7529.34500117
450,S,Sul,2005-04-23,6851.08166489
454,S,Sul,2005-04-24,5951.93166565
458,S,Sul,2005-04-25,7733.07333084
462,S,Sul,2005-04-26,7835.01208038
466,S,Sul,2005-04-27,7914.82749634
470,S,Sul,2005-04-28,7921.51583277
474,S,Sul,2005-04-29,7890.1508342
478,S,Sul,2005-04-30,6876.66833165
482,S,Sul,2005-05-01,5539.12458191
486,S,Sul,2005-05-02,7562.75374827
490,S,Sul,2005-05-03,7868.72916896
494,S,Sul,2005-05-04,7977.01666245
498,S,Sul,2005-05-05,8076.58749639
502,S,Sul,2005-05-06,8053.92041138
506,S,Sul,2005-05-07,7079.76583064
510,S,Sul,2005-05-08,5720.88958384
514,S,Sul,2005-05-09,7686.1333343
518,S,Sul,2005-05-10,7992.36374934
522,S,Sul,2005-05-11,8072.76999741
526,S,Sul,2005-05-12,8059.44833023
530,S,Sul,2005-05-13,8027.08625097
534,S,Sul,2005-05-14,7178.51791702
538,S,Sul,2005-05-15,5932.46958603
542,S,Sul,2005-05-16,7749.71874619
546,S,Sul,2005-05-17,8050.68375142
550,S,Sul,2005-05-18,8171.75750117
554,S,Sul,2005-05-19,8089.56167211
558,S,Sul,2005-05-20,8089.47125234
562,S,Sul,2005-05-21,6988.21124736
566,S,Sul,2005-05-22,5485.30750076
570,S,Sul,2005-05-23,7401.12000081
574,S,Sul,2005-05-24,7812.32666763
578,S,Sul,2005-05-25,7637.67791346
582,S,Sul,2005-05-26,6174.16125259
586,S,Sul,2005-05-27,7040.64999842
590,S,Sul,2005-05-28,6394.69916428
594,S,Sul,2005-05-29,5580.0016659
598,S,Sul,2005-05-30,7510.88125041
602,S,Sul,2005-05-31,7729.42416773
606,S,Sul,2005-06-01,7948.50041768
610,S,Sul,2005-06-02,8001.1716685
614,S,Sul,2005-06-03,8054.2666654
618,S,Sul,2005-06-04,7032.98958089
622,S,Sul,2005-06-05,5800.74083577
626,S,Sul,2005-06-06,7774.0862502
630,S,Sul,2005-06-07,7959.37041951
634,S,Sul,2005-06-08,7892.32749949
638,S,Sul,2005-06-09,7911.11208537
642,S,Sul,2005-06-10,7903.26541626
646,S,Sul,2005-06-11,6876.43333425
650,S,Sul,2005-06-12,5708.12500097
654,S,Sul,2005-06-13,7567.73291753
658,S,Sul,2005-06-14,7919.20541382
662,S,Sul,2005-06-15,7983.41582916
666,S,Sul,2005-06-16,7886.77250122
670,S,Sul,2005-06-17,7934.47374929
674,S,Sul,2005-06-18,6813.80541016
678,S,Sul,2005-06-19,5630.98583303
682,S,Sul,2005-06-20,7442.80332942
686,S,Sul,2005-06-21,7623.45000127
690,S,Sul,2005-06-22,7707.3054188
694,S,Sul,2005-06-23,7723.10375092
698,S,Sul,2005-06-24,7674.51333435
702,S,Sul,2005-06-25,6628.81249766
706,S,Sul,2005-06-26,5561.71624914
710,S,Sul,2005-06-27,7453.3129184
714,S,Sul,2005-06-28,7804.0416685
718,S,Sul,2005-06-29,7833.36625259
722,S,Sul,2005-06-30,7833.18666835
726,S,Sul,2005-07-01,7785.81666819
730,S,Sul,2005-07-02,6773.35041514
734,S,Sul,2005-07-03,5637.7420811
738,S,Sul,2005-07-04,7556.91375005
742,S,Sul,2005-07-05,7734.31499613
746,S,Sul,2005-07-06,7683.59041789
750,S,Sul,2005-07-07,7721.86041509
754,S,Sul,2005-07-08,7688.1641689
758,S,Sul,2005-07-09,6566.28624969
762,S,Sul,2005-07-10,5425.16916972
766,S,Sul,2005-07-11,7398.38291865
770,S,Sul,2005-07-12,7642.31874919
774,S,Sul,2005-07-13,7608.83250427
778,S,Sul,2005-07-14,7759.58333313
782,S,Sul,2005-07-15,7735.05083186
786,S,Sul,2005-07-16,6789.29625092
790,S,Sul,2005-07-17,5468.64916489
794,S,Sul,2005-07-18,7254.18166819
798,S,Sul,2005-07-19,7497.91749949
802,S,Sul,2005-07-20,7572.42624557
806,S,Sul,2005-07-21,7759.13125097
810,S,Sul,2005-07-22,7782.75333247
814,S,Sul,2005-07-23,6684.75625112
818,S,Sul,2005-07-24,5413.86958387
822,S,Sul,2005-07-25,7193.25583282
826,S,Sul,2005-07-26,7569.30416941
830,S,Sul,2005-07-27,7587.64874939
834,S,Sul,2005-07-28,7659.53208537
838,S,Sul,2005-07-29,7695.53999751
842,S,Sul,2005-07-30,6686.22291473
846,S,Sul,2005-07-31,5519.66166804
850,S,Sul,2005-08-01,7406.69562602
854,S,Sul,2005-08-02,7656.27124934
858,S,Sul,2005-08-03,7749.24041397
862,S,Sul,2005-08-04,7784.96833399
866,S,Sul,2005-08-05,7811.39833654
870,S,Sul,2005-08-06,6740.87832932
874,S,Sul,2005-08-07,5558.54000148
878,S,Sul,2005-08-08,7468.09791702
882,S,Sul,2005-08-09,7655.9591685
886,S,Sul,2005-08-10,7578.67583288
890,S,Sul,2005-08-11,7679.30916829
894,S,Sul,2005-08-12,7615.15041799
898,S,Sul,2005-08-13,6631.07124893
902,S,Sul,2005-08-14,5444.40000158
906,S,Sul,2005-08-15,7412.63458232
910,S,Sul,2005-08-16,7738.40416555
914,S,Sul,2005-08-17,7860.52707982
918,S,Sul,2005-08-18,7789.53833135
922,S,Sul,2005-08-19,7679.28749786
926,S,Sul,2005-08-20,6734.80166911
930,S,Sul,2005-08-21,5643.47208369
934,S,Sul,2005-08-22,7521.60833654
938,S,Sul,2005-08-23,7806.70749573
942,S,Sul,2005-08-24,7726.54000122
946,S,Sul,2005-08-25,7508.87291718
950,S,Sul,2005-08-26,7625.40458333
954,S,Sul,2005-08-27,6720.70625
958,S,Sul,2005-08-28,5754.50820833
962,S,Sul,2005-08-29,7676.15708333
966,S,Sul,2005-08-30,7983.140125
970,S,Sul,2005-08-31,7988.25058333
974,S,Sul,2005-09-01,7866.20629167
978,S,Sul,2005-09-02,7488.35925
982,S,Sul,2005-09-03,6563.03675
986,S,Sul,2005-09-04,5661.88154167
990,S,Sul,2005-09-05,7400.99375
994,S,Sul,2005-09-06,7533.38375
998,S,Sul,2005-09-07,6138.13558333
1002,S,Sul,2005-09-08,7384.78954167
1006,S,Sul,2005-09-09,7627.203375
1010,S,Sul,2005-09-10,6756.35558333
1014,S,Sul,2005-09-11,5678.1935
1018,S,Sul,2005-09-12,7502.44008333
1022,S,Sul,2005-09-13,7786.053
1026,S,Sul,2005-09-14,7840.241
1030,S,Sul,2005-09-15,7828.79416667
1034,S,Sul,2005-09-16,7770.09195833
1038,S,Sul,2005-09-17,6807.26941667
1042,S,Sul,2005-09-18,5681.80033333
1046,S,Sul,2005-09-19,7256.23966667
1050,S,Sul,2005-09-20,7240.00966667
1054,S,Sul,2005-09-21,7750.90608333
1058,S,Sul,2005-09-22,7889.4045
1062,S,Sul,2005-09-23,7765.48883333
1066,S,Sul,2005-09-24,6854.418375
1070,S,Sul,2005-09-25,5682.23729167
1074,S,Sul,2005-09-26,7314.65958333
1078,S,Sul,2005-09-27,7627.85608333
1082,S,Sul,2005-09-28,7698.89416667
1086,S,Sul,2005-09-29,7736.82141667
1090,S,Sul,2005-09-30,7853.648875
1094,S,Sul,2005-10-01,6799.16429167
1098,S,Sul,2005-10-02,5800.91475
1102,S,Sul,2005-10-03,7701.598625
1106,S,Sul,2005-10-04,8037.474375
1110,S,Sul,2005-10-05,7896.985375
1114,S,Sul,2005-10-06,7744.34966667
1118,S,Sul,2005-10-07,7834.962
1122,S,Sul,2005-10-08,6868.529375
1126,S,Sul,2005-10-09,5750.02591667
1130,S,Sul,2005-10-10,7725.72916667
1134,S,Sul,2005-10-11,7864.25729167
1138,S,Sul,2005-10-12,6518.51604167
1142,S,Sul,2005-10-13,8110.97041667
1146,S,Sul,2005-10-14,8113.50141667
1150,S,Sul,2005-10-15,6807.75366667
1154,S,Sul,2005-10-16,5561.59154167
1158,S,Sul,2005-10-17,7638.45525
1162,S,Sul,2005-10-18,7807.25670833
1166,S,Sul,2005-10-19,7810.14579167
1170,S,Sul,2005-10-20,7864.76670833
1174,S,Sul,2005-10-21,8011.6635
1178,S,Sul,2005-10-22,7061.75145833
1182,S,Sul,2005-10-23,5706.43691667
1186,S,Sul,2005-10-24,7696.59233333
1190,S,Sul,2005-10-25,8051.900625
1194,S,Sul,2005-10-26,8049.46291667
1198,S,Sul,2005-10-27,8094.28104167
1202,S,Sul,2005-10-28,8096.82116667
1206,S,Sul,2005-10-29,6870.53254167
1210,S,Sul,2005-10-30,5701.53883333
1214,S,Sul,2005-10-31,7380.90925
1218,S,Sul,2005-11-01,7604.19858333
1222,S,Sul,2005-11-02,5946.86958333
1226,S,Sul,2005-11-03,7774.51541667
1230,S,Sul,2005-11-04,8062.47845833
1234,S,Sul,2005-11-05,7089.14958333
1238,S,Sul,2005-11-06,5882.655375
1242,S,Sul,2005-11-07,7610.49575
1246,S,Sul,2005-11-08,7848.46254167
1250,S,Sul,2005-11-09,7839.781125
1254,S,Sul,2005-11-10,7862.07208333
1258,S,Sul,2005-11-11,7891.175375
1262,S,Sul,2005-11-12,6978.27170833
1266,S,Sul,2005-11-13,5948.176
1270,S,Sul,2005-11-14,7538.91545833
1274,S,Sul,2005-11-15,6907.07125
1278,S,Sul,2005-11-16,8447.41458333
1282,S,Sul,2005-11-17,8295.897875
1286,S,Sul,2005-11-18,8319.981625
1290,S,Sul,2005-11-19,7358.89741667
1294,S,Sul,2005-11-20,6089.274375
1298,S,Sul,2005-11-21,8125.55791667
1302,S,Sul,2005-11-22,8570.50708333
1306,S,Sul,2005-11-23,8778.1925
1310,S,Sul,2005-11-24,8562.17833333
1314,S,Sul,2005-11-25,8163.37458333
1318,S,Sul,2005-11-26,7132.07666667
1322,S,Sul,2005-11-27,6064.405
1326,S,Sul,2005-11-28,8126.59291667
1330,S,Sul,2005-11-29,8687.69
1334,S,Sul,2005-11-30,8950.445
1338,S,Sul,2005-12-01,8620.5075
1342,S,Sul,2005-12-02,8305.47791667
1346,S,Sul,2005-12-03,7241.31958333
1350,S,Sul,2005-12-04,6230.37375
1354,S,Sul,2005-12-05,8233.62125
1358,S,Sul,2005-12-06,8266.90875
1362,S,Sul,2005-12-07,8105.60583333
1366,S,Sul,2005-12-08,8205.46833333
1370,S,Sul,2005-12-09,8613.57166667
1374,S,Sul,2005-12-10,7542.87041667
1378,S,Sul,2005-12-11,6190.42333333
1382,S,Sul,2005-12-12,8049.81291667
1386,S,Sul,2005-12-13,8458.245
1390,S,Sul,2005-12-14,8547.78458333
1394,S,Sul,2005-12-15,8660.12791667
1398,S,Sul,2005-12-16,8754.40708333
1402,S,Sul,2005-12-17,7517.25416667
1406,S,Sul,2005-12-18,6445.6425
1410,S,Sul,2005-12-19,8362.12083333
1414,S,Sul,2005-12-20,8459.85125
1418,S,Sul,2005-12-21,8391.60291667
1422,S,Sul,2005-12-22,8533.52708333
1426,S,Sul,2005-12-23,8143.89666667
1430,S,Sul,2005-12-24,6630.50875
1434,S,Sul,2005-12-25,5451.03666667
1438,S,Sul,2005-12-26,6893.03791667
1442,S,Sul,2005-12-27,7491.22041667
1446,S,Sul,2005-12-28,7611.49125
1450,S,Sul,2005-12-29,7634.38
1454,S,Sul,2005-12-30,7413.2225
1458,S,Sul,2005-12-31,6463.31375
