,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2006-01-01,5486.4025
6,S,Sul,2006-01-02,7176.73291667
10,S,Sul,2006-01-03,7852.10458333
14,S,Sul,2006-01-04,8052.52666667
18,S,Sul,2006-01-05,8185.9
22,S,Sul,2006-01-06,8294.375
26,S,Sul,2006-01-07,7653.53416667
30,S,Sul,2006-01-08,6781.72708333
34,S,Sul,2006-01-09,8718.43791667
38,S,Sul,2006-01-10,9099.38875
42,S,Sul,2006-01-11,9176.795
46,S,Sul,2006-01-12,9154.47208333
50,S,Sul,2006-01-13,9070.0375
54,S,Sul,2006-01-14,7914.06666667
58,S,Sul,2006-01-15,6954.38208333
62,S,Sul,2006-01-16,8975.74625
66,S,Sul,2006-01-17,8911.53666667
70,S,Sul,2006-01-18,8521.11083333
74,S,Sul,2006-01-19,8581.86416667
78,S,Sul,2006-01-20,8681.08083333
82,S,Sul,2006-01-21,7652.15208333
86,S,Sul,2006-01-22,6465.31791667
90,S,Sul,2006-01-23,8265.63291667
94,S,Sul,2006-01-24,8528.35416667
98,S,Sul,2006-01-25,8556.8975
102,S,Sul,2006-01-26,8558.53583333
106,S,Sul,2006-01-27,8620.84458333
110,S,Sul,2006-01-28,7620.86375
114,S,Sul,2006-01-29,6520.29041667
118,S,Sul,2006-01-30,8639.00625
122,S,Sul,2006-01-31,8908.9575
126,S,Sul,2006-02-01,8890.67083333
130,S,Sul,2006-02-02,8878.14554167
134,S,Sul,2006-02-03,9209.47416667
138,S,Sul,2006-02-04,8185.932625
142,S,Sul,2006-02-05,6949.597
146,S,Sul,2006-02-06,8855.06579167
150,S,Sul,2006-02-07,8849.184375
154,S,Sul,2006-02-08,8833.3575
158,S,Sul,2006-02-09,8827.09125
162,S,Sul,2006-02-10,8647.868875
166,S,Sul,2006-02-11,7484.30875
170,S,Sul,2006-02-12,6431.51875
174,S,Sul,2006-02-13,8565.68375
178,S,Sul,2006-02-14,8925.027125
182,S,Sul,2006-02-15,8981.264875
186,S,Sul,2006-02-16,8882.68920833
190,S,Sul,2006-02-17,8884.26
194,S,Sul,2006-02-18,7872.03666667
198,S,Sul,2006-02-19,6600.88583333
202,S,Sul,2006-02-20,8564.24375
206,S,Sul,2006-02-21,8847.17541667
210,S,Sul,2006-02-22,8946.05333333
214,S,Sul,2006-02-23,9008.845
218,S,Sul,2006-02-24,8851.4225
222,S,Sul,2006-02-25,7385.32666667
226,S,Sul,2006-02-26,6259.86791667
230,S,Sul,2006-02-27,7590.22041667
234,S,Sul,2006-02-28,7643.21916667
238,S,Sul,2006-03-01,8682.46875
242,S,Sul,2006-03-02,8947.52916667
246,S,Sul,2006-03-03,9006.73166667
250,S,Sul,2006-03-04,7791.81
254,S,Sul,2006-03-05,6453.60625
258,S,Sul,2006-03-06,8503.42291667
262,S,Sul,2006-03-07,8843.04875
266,S,Sul,2006-03-08,9132.06416667
270,S,Sul,2006-03-09,9189.14125
274,S,Sul,2006-03-10,8867.7825
278,S,Sul,2006-03-11,7552.63625
282,S,Sul,2006-03-12,6399.26541667
286,S,Sul,2006-03-13,8629.95166667
290,S,Sul,2006-03-14,9046.30458333
294,S,Sul,2006-03-15,9164.37958333
298,S,Sul,2006-03-16,9362.71208333
302,S,Sul,2006-03-17,9462.44041667
306,S,Sul,2006-03-18,8272.68
310,S,Sul,2006-03-19,6899.1575
314,S,Sul,2006-03-20,8886.32208333
318,S,Sul,2006-03-21,8934.94458333
322,S,Sul,2006-03-22,8990.9075
326,S,Sul,2006-03-23,8935.755
330,S,Sul,2006-03-24,9034.59708333
334,S,Sul,2006-03-25,7710.86333333
338,S,Sul,2006-03-26,6195.54833333
342,S,Sul,2006-03-27,8178.89375
346,S,Sul,2006-03-28,8619.03541667
350,S,Sul,2006-03-29,8332.29041667
354,S,Sul,2006-03-30,8306.78416667
358,S,Sul,2006-03-31,8385.70125
362,S,Sul,2006-04-01,7388.445
366,S,Sul,2006-04-02,6226.14125
370,S,Sul,2006-04-03,8212.23166667
374,S,Sul,2006-04-04,8597.08958333
378,S,Sul,2006-04-05,8639.44208333
382,S,Sul,2006-04-06,8530.96208333
386,S,Sul,2006-04-07,8611.03708333
390,S,Sul,2006-04-08,7707.62416667
394,S,Sul,2006-04-09,6268.82833333
398,S,Sul,2006-04-10,8068.16958333
402,S,Sul,2006-04-11,8367.52583333
406,S,Sul,2006-04-12,8541.25416667
410,S,Sul,2006-04-13,8388.78291667
414,S,Sul,2006-04-14,6175.5575
418,S,Sul,2006-04-15,6404.92708333
422,S,Sul,2006-04-16,5596.38833333
426,S,Sul,2006-04-17,7749.10416667
430,S,Sul,2006-04-18,8171.38958333
434,S,Sul,2006-04-19,9031.22291667
438,S,Sul,2006-04-20,8270.18041667
442,S,Sul,2006-04-21,7133.53375
446,S,Sul,2006-04-22,6719.66708333
450,S,Sul,2006-04-23,5917.47583333
454,S,Sul,2006-04-24,8077.38125
458,S,Sul,2006-04-25,8436.35875
462,S,Sul,2006-04-26,8451.85666667
466,S,Sul,2006-04-27,8393.28833333
470,S,Sul,2006-04-28,8377.65
474,S,Sul,2006-04-29,7312.69958333
478,S,Sul,2006-04-30,5993.0875
482,S,Sul,2006-05-01,5907.30166667
486,S,Sul,2006-05-02,7831.19291667
490,S,Sul,2006-05-03,8108.53833333
494,S,Sul,2006-05-04,8051.56
498,S,Sul,2006-05-05,8040.98875
502,S,Sul,2006-05-06,7130.94833333
506,S,Sul,2006-05-07,5961.55958333
510,S,Sul,2006-05-08,7902.29625
514,S,Sul,2006-05-09,8224.38375
518,S,Sul,2006-05-10,8232.425
522,S,Sul,2006-05-11,8249.04416667
526,S,Sul,2006-05-12,8222.48166667
530,S,Sul,2006-05-13,7151.29458333
534,S,Sul,2006-05-14,5811.82
538,S,Sul,2006-05-15,7821.36458333
542,S,Sul,2006-05-16,8137.91666667
546,S,Sul,2006-05-17,8196.13656108
550,S,Sul,2006-05-18,8248.17380676
554,S,Sul,2006-05-19,8297.29
558,S,Sul,2006-05-20,7283.82666667
562,S,Sul,2006-05-21,6000.25166667
566,S,Sul,2006-05-22,7878.62791667
570,S,Sul,2006-05-23,8239.52291667
574,S,Sul,2006-05-24,8271.54083333
578,S,Sul,2006-05-25,8215.16625
582,S,Sul,2006-05-26,8125.35083333
586,S,Sul,2006-05-27,7226.37625
590,S,Sul,2006-05-28,6021.25625
594,S,Sul,2006-05-29,8120.11708333
598,S,Sul,2006-05-30,8382.58375
602,S,Sul,2006-05-31,8278.41666667
606,S,Sul,2006-06-01,8208.99708333
610,S,Sul,2006-06-02,8163.76083333
614,S,Sul,2006-06-03,7209.76583333
618,S,Sul,2006-06-04,6043.98
622,S,Sul,2006-06-05,7976.37
626,S,Sul,2006-06-06,8218.97666667
630,S,Sul,2006-06-07,8314.20666667
634,S,Sul,2006-06-08,8382.58708333
638,S,Sul,2006-06-09,8293.5725
642,S,Sul,2006-06-10,7358.835
646,S,Sul,2006-06-11,6066.72416667
650,S,Sul,2006-06-12,7997.7025
654,S,Sul,2006-06-13,7910.88791667
658,S,Sul,2006-06-14,8298.52
662,S,Sul,2006-06-15,7048.73375
666,S,Sul,2006-06-16,7740.26875
670,S,Sul,2006-06-17,6968.6625
674,S,Sul,2006-06-18,5885.00333333
678,S,Sul,2006-06-19,7985.26541667
682,S,Sul,2006-06-20,8391.06083333
686,S,Sul,2006-06-21,8428.17458333
690,S,Sul,2006-06-22,8025.68041667
694,S,Sul,2006-06-23,8302.54083333
698,S,Sul,2006-06-24,7312.28458333
702,S,Sul,2006-06-25,6024.87541667
706,S,Sul,2006-06-26,7847.55541667
710,S,Sul,2006-06-27,7791.11208333
714,S,Sul,2006-06-28,8136.73625
718,S,Sul,2006-06-29,8085.14458333
722,S,Sul,2006-06-30,8042.72375
726,S,Sul,2006-07-01,6872.69208333
730,S,Sul,2006-07-02,5774.79583333
734,S,Sul,2006-07-03,7856.74208333
738,S,Sul,2006-07-04,8200.03208333
742,S,Sul,2006-07-05,8261.27458333
746,S,Sul,2006-07-06,8319.73583333
750,S,Sul,2006-07-07,8324.59458333
754,S,Sul,2006-07-08,7177.17958333
758,S,Sul,2006-07-09,5854.84708333
762,S,Sul,2006-07-10,7807.66083333
766,S,Sul,2006-07-11,8169.98333333
770,S,Sul,2006-07-12,8264.32791667
774,S,Sul,2006-07-13,8309.9875
778,S,Sul,2006-07-14,8291.96041667
782,S,Sul,2006-07-15,7162.91666667
786,S,Sul,2006-07-16,5959.43416667
790,S,Sul,2006-07-17,7858.4375
794,S,Sul,2006-07-18,8174.69208333
798,S,Sul,2006-07-19,8026.97
802,S,Sul,2006-07-20,8194.39375
806,S,Sul,2006-07-21,8199.52166667
810,S,Sul,2006-07-22,7195.47208333
814,S,Sul,2006-07-23,6001.89791667
818,S,Sul,2006-07-24,7963.47208333
822,S,Sul,2006-07-25,8292.62166667
826,S,Sul,2006-07-26,8366.14833333
830,S,Sul,2006-07-27,8382.325
834,S,Sul,2006-07-28,8317.67958333
838,S,Sul,2006-07-29,6968.40583333
842,S,Sul,2006-07-30,5707.55708333
846,S,Sul,2006-07-31,7727.26208333
850,S,Sul,2006-08-01,8094.14208333
854,S,Sul,2006-08-02,8161.96291667
858,S,Sul,2006-08-03,8211.67291667
862,S,Sul,2006-08-04,8234.29291667
866,S,Sul,2006-08-05,7304.25541667
