,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2018-01-01,8350.80920833
6,S,Sul,2018-01-02,10178.03254167
10,S,Sul,2018-01-03,11138.50520833
14,S,Sul,2018-01-04,11696.33566667
18,S,Sul,2018-01-05,12369.50083333
22,S,Sul,2018-01-06,11012.35345833
26,S,Sul,2018-01-07,9312.76683333
30,S,Sul,2018-01-08,11720.490875
34,S,Sul,2018-01-09,12113.092
38,S,Sul,2018-01-10,12334.14575
42,S,Sul,2018-01-11,12497.33883333
46,S,Sul,2018-01-12,12617.27745833
50,S,Sul,2018-01-13,11065.13904167
54,S,Sul,2018-01-14,9762.380875
58,S,Sul,2018-01-15,12586.92879167
62,S,Sul,2018-01-16,12864.55316667
66,S,Sul,2018-01-17,12886.64154167
70,S,Sul,2018-01-18,13272.85220833
74,S,Sul,2018-01-19,12956.82445833
78,S,Sul,2018-01-20,11008.30729167
82,S,Sul,2018-01-21,9360.025125
86,S,Sul,2018-01-22,12099.57070833
90,S,Sul,2018-01-23,12685.71466667
94,S,Sul,2018-01-24,12930.25145833
98,S,Sul,2018-01-25,12568.32975
102,S,Sul,2018-01-26,12497.27441667
106,S,Sul,2018-01-27,10838.219375
110,S,Sul,2018-01-28,9588.59845833
114,S,Sul,2018-01-29,12529.50216667
118,S,Sul,2018-01-30,12751.91041667
122,S,Sul,2018-01-31,12938.12541667
126,S,Sul,2018-02-01,12995.038625
130,S,Sul,2018-02-02,12896.37016667
134,S,Sul,2018-02-03,11302.43075
138,S,Sul,2018-02-04,9777.02875
142,S,Sul,2018-02-05,12662.59016667
146,S,Sul,2018-02-06,13226.0895
150,S,Sul,2018-02-07,13618.766375
154,S,Sul,2018-02-08,13885.48454167
158,S,Sul,2018-02-09,13842.17470833
162,S,Sul,2018-02-10,11425.27104167
166,S,Sul,2018-02-11,9751.716625
170,S,Sul,2018-02-12,10882.48833333
174,S,Sul,2018-02-13,10803.787375
178,S,Sul,2018-02-14,12039.41425
182,S,Sul,2018-02-15,12384.855125
186,S,Sul,2018-02-16,12575.22404167
190,S,Sul,2018-02-17,11019.88808333
194,S,Sul,2018-02-18,9771.17629167
198,S,Sul,2018-02-19,12466.31591667
202,S,Sul,2018-02-20,12671.12275
