,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2015-01-01,7717.62003968
6,S,Sul,2015-01-02,8512.00149159
10,S,Sul,2015-01-03,8511.20885024
14,S,Sul,2015-01-04,8228.55667125
18,S,Sul,2015-01-05,10872.02928158
22,S,Sul,2015-01-06,12307.82897049
26,S,Sul,2015-01-07,12696.97940387
30,S,Sul,2015-01-08,12421.08200324
34,S,Sul,2015-01-09,12301.76635301
38,S,Sul,2015-01-10,10969.64371941
42,S,Sul,2015-01-11,9661.26901674
46,S,Sul,2015-01-12,13022.60096346
50,S,Sul,2015-01-13,13816.62807383
54,S,Sul,2015-01-14,13254.52732367
58,S,Sul,2015-01-15,12683.72419279
62,S,Sul,2015-01-16,12996.09526529
66,S,Sul,2015-01-17,11493.36401108
70,S,Sul,2015-01-18,9946.16991833
74,S,Sul,2015-01-19,13064.59284071
78,S,Sul,2015-01-20,12985.63407254
82,S,Sul,2015-01-21,12327.65599108
86,S,Sul,2015-01-22,12201.63592788
90,S,Sul,2015-01-23,12375.66376817
94,S,Sul,2015-01-24,11063.7995525
98,S,Sul,2015-01-25,9692.53959554
102,S,Sul,2015-01-26,12978.81756517
106,S,Sul,2015-01-27,13527.48722283
110,S,Sul,2015-01-28,13362.39937583
114,S,Sul,2015-01-29,12683.14225695
118,S,Sul,2015-01-30,11973.28934769
122,S,Sul,2015-01-31,10274.09532136
126,S,Sul,2015-02-01,9225.60326819
130,S,Sul,2015-02-02,12446.28481963
134,S,Sul,2015-02-03,13181.45797627
138,S,Sul,2015-02-04,12704.06755734
142,S,Sul,2015-02-05,12479.49492098
146,S,Sul,2015-02-06,12473.37888891
150,S,Sul,2015-02-07,10781.57289057
154,S,Sul,2015-02-08,9563.92900418
158,S,Sul,2015-02-09,12906.5185845
162,S,Sul,2015-02-10,13513.41024851
166,S,Sul,2015-02-11,13437.31803773
170,S,Sul,2015-02-12,13510.19655201
174,S,Sul,2015-02-13,13075.43347082
178,S,Sul,2015-02-14,10504.69935074
182,S,Sul,2015-02-15,8722.49181705
186,S,Sul,2015-02-16,10562.64365297
190,S,Sul,2015-02-17,10654.94574223
194,S,Sul,2015-02-18,12040.6052322
198,S,Sul,2015-02-19,12546.98292792
202,S,Sul,2015-02-20,12238.6381626
206,S,Sul,2015-02-21,10753.78468633
210,S,Sul,2015-02-22,9109.42662799
214,S,Sul,2015-02-23,12003.77230921
218,S,Sul,2015-02-24,12147.64479962
222,S,Sul,2015-02-25,12225.48845514
226,S,Sul,2015-02-26,12414.98366266
230,S,Sul,2015-02-27,12317.95341495
234,S,Sul,2015-02-28,10255.46161947
238,S,Sul,2015-03-01,8959.67490794
242,S,Sul,2015-03-02,12115.00385654
246,S,Sul,2015-03-03,13048.57781959
250,S,Sul,2015-03-04,13108.43874213
254,S,Sul,2015-03-05,12974.09345833
258,S,Sul,2015-03-06,12634.08066667
262,S,Sul,2015-03-07,10613.05441667
266,S,Sul,2015-03-08,9270.91979167
270,S,Sul,2015-03-09,12262.3325
274,S,Sul,2015-03-10,12623.24441667
278,S,Sul,2015-03-11,12670.81383333
282,S,Sul,2015-03-12,12733.18508333
286,S,Sul,2015-03-13,12805.92379167
290,S,Sul,2015-03-14,11401.43658333
294,S,Sul,2015-03-15,9967.29304167
298,S,Sul,2015-03-16,12825.89383333
302,S,Sul,2015-03-17,12858.33654167
306,S,Sul,2015-03-18,12722.76433333
310,S,Sul,2015-03-19,12644.34220833
314,S,Sul,2015-03-20,12710.72175
318,S,Sul,2015-03-21,10671.050125
322,S,Sul,2015-03-22,8653.92749167
326,S,Sul,2015-03-23,11367.20729167
330,S,Sul,2015-03-24,12045.03591667
334,S,Sul,2015-03-25,12291.470625
