,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2019-01-01,9801.327625
6,S,Sul,2019-01-02,12630.65504167
10,S,Sul,2019-01-03,13222.66925
14,S,Sul,2019-01-04,12114.65425
18,S,Sul,2019-01-05,10561.58408333
22,S,Sul,2019-01-06,9895.638875
26,S,Sul,2019-01-07,12621.63041667
30,S,Sul,2019-01-08,13098.88291667
34,S,Sul,2019-01-09,13315.09970833
38,S,Sul,2019-01-10,13429.43108333
42,S,Sul,2019-01-11,12967.17475
46,S,Sul,2019-01-12,11188.39175
50,S,Sul,2019-01-13,10035.38041667
54,S,Sul,2019-01-14,13427.2395838
58,S,Sul,2019-01-15,14021.13787616
62,S,Sul,2019-01-16,14134.09575105
66,S,Sul,2019-01-17,14170.92329466
70,S,Sul,2019-01-18,13419.43753995
74,S,Sul,2019-01-19,11091.68337493
78,S,Sul,2019-01-20,9465.66212494
82,S,Sul,2019-01-21,13034.38583349
86,S,Sul,2019-01-22,14054.93954186
90,S,Sul,2019-01-23,14677.77474963
94,S,Sul,2019-01-24,14183.68441709
98,S,Sul,2019-01-25,13814.92445826
102,S,Sul,2019-01-26,12076.18470734
106,S,Sul,2019-01-27,10775.67245741
110,S,Sul,2019-01-28,14332.97166667
114,S,Sul,2019-01-29,15268.38716549
118,S,Sul,2019-01-30,15645.296125
122,S,Sul,2019-01-31,15375.82120821
126,S,Sul,2019-02-01,14932.68620833
130,S,Sul,2019-02-02,12262.20675
134,S,Sul,2019-02-03,9909.74633333
138,S,Sul,2019-02-04,12184.11795833
142,S,Sul,2019-02-05,12444.74579167
146,S,Sul,2019-02-06,12719.181
150,S,Sul,2019-02-07,13226.22566667
154,S,Sul,2019-02-08,13814.64775
158,S,Sul,2019-02-09,12563.14854167
162,S,Sul,2019-02-10,11142.89345833
166,S,Sul,2019-02-11,13822.990125
170,S,Sul,2019-02-12,12995.74854167
174,S,Sul,2019-02-13,12450.46958333
178,S,Sul,2019-02-14,12768.19058333
182,S,Sul,2019-02-15,12407.220375
186,S,Sul,2019-02-16,10404.53333333
190,S,Sul,2019-02-17,9097.04520833
194,S,Sul,2019-02-18,12285.16733333
198,S,Sul,2019-02-19,12985.09079167
202,S,Sul,2019-02-20,13393.04170833
206,S,Sul,2019-02-21,13474.72145833
210,S,Sul,2019-02-22,13738.65925
214,S,Sul,2019-02-23,12592.01433333
218,S,Sul,2019-02-24,10951.21508333
222,S,Sul,2019-02-25,12647.00175
226,S,Sul,2019-02-26,11943.05425
230,S,Sul,2019-02-27,11785.37141667
234,S,Sul,2019-02-28,12052.49983333
238,S,Sul,2019-03-01,12369.331375
242,S,Sul,2019-03-02,11036.330875
246,S,Sul,2019-03-03,9829.70716667
250,S,Sul,2019-03-04,12000.45858333
254,S,Sul,2019-03-05,12487.0175
258,S,Sul,2019-03-06,13460.466375
262,S,Sul,2019-03-07,13372.84904167
266,S,Sul,2019-03-08,13192.95170833
270,S,Sul,2019-03-09,10699.27745833
274,S,Sul,2019-03-10,8993.29858333
278,S,Sul,2019-03-11,11705.701375
282,S,Sul,2019-03-12,12170.08841667
286,S,Sul,2019-03-13,12468.34675
290,S,Sul,2019-03-14,12546.28808333
294,S,Sul,2019-03-15,12513.293375
298,S,Sul,2019-03-16,10810.843125
302,S,Sul,2019-03-17,9072.46533333
306,S,Sul,2019-03-18,11993.94945833
310,S,Sul,2019-03-19,12412.42470833
314,S,Sul,2019-03-20,12103.14916667
318,S,Sul,2019-03-21,11624.86295833
322,S,Sul,2019-03-22,11541.18
326,S,Sul,2019-03-23,10105.08808333
330,S,Sul,2019-03-24,9017.105625
334,S,Sul,2019-03-25,11998.1125
338,S,Sul,2019-03-26,12056.36779167
342,S,Sul,2019-03-27,12009.400125
346,S,Sul,2019-03-28,12094.20295833
350,S,Sul,2019-03-29,12218.24858333
354,S,Sul,2019-03-30,10602.1635
358,S,Sul,2019-03-31,9319.5615
362,S,Sul,2019-04-01,12374.88266667
366,S,Sul,2019-04-02,12896.58958333
370,S,Sul,2019-04-03,13187.079375
374,S,Sul,2019-04-04,13455.602125
378,S,Sul,2019-04-05,12661.94054167
382,S,Sul,2019-04-06,10183.77825
386,S,Sul,2019-04-07,8634.72379167
390,S,Sul,2019-04-08,11371.99625
394,S,Sul,2019-04-09,11692.621875
398,S,Sul,2019-04-10,11879.44991667
402,S,Sul,2019-04-11,12216.84783333
406,S,Sul,2019-04-12,12302.56779167
410,S,Sul,2019-04-13,10645.05083333
414,S,Sul,2019-04-14,9510.57270833
418,S,Sul,2019-04-15,12581.79875
422,S,Sul,2019-04-16,12338.61404167
426,S,Sul,2019-04-17,11984.60745833
430,S,Sul,2019-04-18,11777.65458333
434,S,Sul,2019-04-19,9073.487
438,S,Sul,2019-04-20,9287.56625
442,S,Sul,2019-04-21,8350.922875
446,S,Sul,2019-04-22,11244.71295833
450,S,Sul,2019-04-23,11759.52683333
454,S,Sul,2019-04-24,12103.4465
458,S,Sul,2019-04-25,12319.713
462,S,Sul,2019-04-26,12428.81629167
466,S,Sul,2019-04-27,10548.19558333
470,S,Sul,2019-04-28,8514.98691667
474,S,Sul,2019-04-29,10967.99920833
478,S,Sul,2019-04-30,11295.40895833
482,S,Sul,2019-05-01,9227.16908333
486,S,Sul,2019-05-02,11349.92066667
