,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2014-01-01,8451.91411621
6,S,Sul,2014-01-02,10377.18163413
10,S,Sul,2014-01-03,10431.45081108
14,S,Sul,2014-01-04,9028.46095529
18,S,Sul,2014-01-05,8201.228205
22,S,Sul,2014-01-06,11069.94890158
26,S,Sul,2014-01-07,12069.248427
30,S,Sul,2014-01-08,12212.10978321
34,S,Sul,2014-01-09,12375.96507013
38,S,Sul,2014-01-10,12622.98325037
42,S,Sul,2014-01-11,10333.89310813
46,S,Sul,2014-01-12,8569.89065296
50,S,Sul,2014-01-13,11275.1285015
54,S,Sul,2014-01-14,11960.43119842
58,S,Sul,2014-01-15,11919.62849046
62,S,Sul,2014-01-16,12018.95646608
66,S,Sul,2014-01-17,12523.49312246
70,S,Sul,2014-01-18,11102.72033112
74,S,Sul,2014-01-19,9803.52004467
78,S,Sul,2014-01-20,13113.96582604
82,S,Sul,2014-01-21,13750.22544896
86,S,Sul,2014-01-22,14255.40342771
90,S,Sul,2014-01-23,14355.77177667
94,S,Sul,2014-01-24,14257.98933921
98,S,Sul,2014-01-25,11115.90032763
102,S,Sul,2014-01-26,9210.15293533
106,S,Sul,2014-01-27,12755.27148525
110,S,Sul,2014-01-28,13876.38465117
114,S,Sul,2014-01-29,14291.01811483
118,S,Sul,2014-01-30,14104.69385146
122,S,Sul,2014-01-31,13564.49392771
126,S,Sul,2014-02-01,
130,S,Sul,2014-02-02,10346.81572912
134,S,Sul,2014-02-03,13944.93442875
138,S,Sul,2014-02-04,14314.23428246
142,S,Sul,2014-02-05,14729.10453608
146,S,Sul,2014-02-06,14991.02815333
150,S,Sul,2014-02-07,14901.65596183
154,S,Sul,2014-02-08,12612.03732746
158,S,Sul,2014-02-09,10684.91480279
162,S,Sul,2014-02-10,13934.96087788
166,S,Sul,2014-02-11,14352.16062029
170,S,Sul,2014-02-12,14411.00170538
174,S,Sul,2014-02-13,13335.11818667
178,S,Sul,2014-02-14,11898.79346975
182,S,Sul,2014-02-15,9769.15406225
186,S,Sul,2014-02-16,8599.28544917
190,S,Sul,2014-02-17,11659.08019563
194,S,Sul,2014-02-18,12445.48202221
198,S,Sul,2014-02-19,12684.11317883
202,S,Sul,2014-02-20,12559.97667825
206,S,Sul,2014-02-21,12818.45882663
210,S,Sul,2014-02-22,11055.47751842
214,S,Sul,2014-02-23,9196.42140537
218,S,Sul,2014-02-24,12076.05299946
222,S,Sul,2014-02-25,12555.95525683
226,S,Sul,2014-02-26,12460.75685871
230,S,Sul,2014-02-27,11687.90187867
234,S,Sul,2014-02-28,11238.70210433
238,S,Sul,2014-03-01,9661.30429833
242,S,Sul,2014-03-02,8482.31616683
246,S,Sul,2014-03-03,10285.967032
250,S,Sul,2014-03-04,10143.9400195
254,S,Sul,2014-03-05,11257.13002267
258,S,Sul,2014-03-06,11765.49992267
262,S,Sul,2014-03-07,12008.16168121
266,S,Sul,2014-03-08,10225.13763583
270,S,Sul,2014-03-09,8842.45552663
274,S,Sul,2014-03-10,11856.60955942
278,S,Sul,2014-03-11,11981.07352583
282,S,Sul,2014-03-12,11906.76963467
286,S,Sul,2014-03-13,11880.34789396
290,S,Sul,2014-03-14,12246.99549267
294,S,Sul,2014-03-15,10695.574649
298,S,Sul,2014-03-16,9232.81890275
302,S,Sul,2014-03-17,12244.71181604
306,S,Sul,2014-03-18,11996.82519437
310,S,Sul,2014-03-19,11667.08102808
314,S,Sul,2014-03-20,11437.03500858
318,S,Sul,2014-03-21,11395.40514396
322,S,Sul,2014-03-22,9470.66208375
326,S,Sul,2014-03-23,7777.03295971
330,S,Sul,2014-03-24,10745.80903358
334,S,Sul,2014-03-25,11398.60304108
338,S,Sul,2014-03-26,11544.61852463
342,S,Sul,2014-03-27,11906.64085525
346,S,Sul,2014-03-28,12086.4883905
350,S,Sul,2014-03-29,10526.67931533
354,S,Sul,2014-03-30,8819.55564908
358,S,Sul,2014-03-31,11507.32505262
362,S,Sul,2014-04-01,11799.07335138
366,S,Sul,2014-04-02,11867.79566267
370,S,Sul,2014-04-03,11867.24696538
374,S,Sul,2014-04-04,11835.86026958
378,S,Sul,2014-04-05,10238.94458071
382,S,Sul,2014-04-06,8996.03452163
386,S,Sul,2014-04-07,12155.07243654
390,S,Sul,2014-04-08,12545.22702388
394,S,Sul,2014-04-09,11615.73008175
398,S,Sul,2014-04-10,11346.78270683
402,S,Sul,2014-04-11,11606.35874596
406,S,Sul,2014-04-12,9757.78022175
410,S,Sul,2014-04-13,7832.76549104
414,S,Sul,2014-04-14,10351.30546504
418,S,Sul,2014-04-15,10840.71239654
422,S,Sul,2014-04-16,11101.74406046
426,S,Sul,2014-04-17,11177.59934575
430,S,Sul,2014-04-18,8156.56565712
434,S,Sul,2014-04-19,8392.81976975
438,S,Sul,2014-04-20,7374.36487758
442,S,Sul,2014-04-21,8348.64412033
446,S,Sul,2014-04-22,10799.53637
450,S,Sul,2014-04-23,10966.13944775
454,S,Sul,2014-04-24,10887.74083767
458,S,Sul,2014-04-25,10816.29341963
