,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2021-01-01,8564.13254042
6,S,Sul,2021-01-02,9352.43466667
10,S,Sul,2021-01-03,9449.49016667
14,S,Sul,2021-01-04,12307.58212519
18,S,Sul,2021-01-05,13113.23308422
22,S,Sul,2021-01-06,13496.34612638
26,S,Sul,2021-01-07,14101.18954787
30,S,Sul,2021-01-08,14029.72775
34,S,Sul,2021-01-09,12474.98437854
38,S,Sul,2021-01-10,11276.52091667
42,S,Sul,2021-01-11,14773.81703975
46,S,Sul,2021-01-12,14521.52170616
50,S,Sul,2021-01-13,13856.24720255
54,S,Sul,2021-01-14,13334.17796099
58,S,Sul,2021-01-15,13794.84421101
62,S,Sul,2021-01-16,12019.97833337
66,S,Sul,2021-01-17,10412.99791667
70,S,Sul,2021-01-18,12835.90205327
74,S,Sul,2021-01-19,12818.26216851
78,S,Sul,2021-01-20,12763.06979167
82,S,Sul,2021-01-21,12859.88854167
86,S,Sul,2021-01-22,12899.991625
90,S,Sul,2021-01-23,11355.68195833
94,S,Sul,2021-01-24,10031.633375
98,S,Sul,2021-01-25,12929.80804167
102,S,Sul,2021-01-26,13455.5905
106,S,Sul,2021-01-27,13512.92845833
110,S,Sul,2021-01-28,13089.74445833
114,S,Sul,2021-01-29,13066.02079167
118,S,Sul,2021-01-30,11414.42695833
122,S,Sul,2021-01-31,9893.82245833
126,S,Sul,2021-02-01,12990.75091667
130,S,Sul,2021-02-02,13752.40508333
134,S,Sul,2021-02-03,14121.53016667
138,S,Sul,2021-02-04,13528.7465
142,S,Sul,2021-02-05,12599.455
146,S,Sul,2021-02-06,10807.92420792
150,S,Sul,2021-02-07,9552.41195853
154,S,Sul,2021-02-08,12693.80666768
158,S,Sul,2021-02-09,13277.54258333
162,S,Sul,2021-02-10,13397.67066667
166,S,Sul,2021-02-11,13286.7736264
170,S,Sul,2021-02-12,13057.47404167
174,S,Sul,2021-02-13,11397.779
178,S,Sul,2021-02-14,9913.60079167
182,S,Sul,2021-02-15,12205.1305
186,S,Sul,2021-02-16,12681.84175
190,S,Sul,2021-02-17,13308.82658333
194,S,Sul,2021-02-18,13420.61641667
198,S,Sul,2021-02-19,13641.60433333
202,S,Sul,2021-02-20,12196.8195
206,S,Sul,2021-02-21,10931.063375
210,S,Sul,2021-02-22,14383.92079167
214,S,Sul,2021-02-23,14799.38404167
218,S,Sul,2021-02-24,14141.45895833
222,S,Sul,2021-02-25,13825.73329167
226,S,Sul,2021-02-26,13549.36141667
230,S,Sul,2021-02-27,11645.26816667
234,S,Sul,2021-02-28,10194.6935
238,S,Sul,2021-03-01,12981.477125
242,S,Sul,2021-03-02,13791.16295833
246,S,Sul,2021-03-03,13961.18379167
250,S,Sul,2021-03-04,13521.28645833
254,S,Sul,2021-03-05,12922.52154167
258,S,Sul,2021-03-06,11107.18729167
262,S,Sul,2021-03-07,10014.99575
266,S,Sul,2021-03-08,13179.87508333
270,S,Sul,2021-03-09,13452.10558333
274,S,Sul,2021-03-10,13162.557
278,S,Sul,2021-03-11,13378.572625
282,S,Sul,2021-03-12,13543.32016667
286,S,Sul,2021-03-13,12168.30166667
290,S,Sul,2021-03-14,11107.634125
294,S,Sul,2021-03-15,13899.92379167
298,S,Sul,2021-03-16,14674.530875
302,S,Sul,2021-03-17,14292.01804167
306,S,Sul,2021-03-18,13620.49166667
310,S,Sul,2021-03-19,13467.248875
314,S,Sul,2021-03-20,12157.98075
318,S,Sul,2021-03-21,11123.09933333
322,S,Sul,2021-03-22,13740.966
326,S,Sul,2021-03-23,13805.06104167
330,S,Sul,2021-03-24,13817.912375
334,S,Sul,2021-03-25,13965.001625
338,S,Sul,2021-03-26,13886.43941667
342,S,Sul,2021-03-27,11818.98529167
346,S,Sul,2021-03-28,10225.25266667
350,S,Sul,2021-03-29,12790.31133333
354,S,Sul,2021-03-30,12649.31375
358,S,Sul,2021-03-31,12396.052375
362,S,Sul,2021-04-01,12190.528875
366,S,Sul,2021-04-02,9451.675625
370,S,Sul,2021-04-03,9928.99816667
374,S,Sul,2021-04-04,9364.79116667
378,S,Sul,2021-04-05,12539.33391667
382,S,Sul,2021-04-06,13119.770625
