,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2017-01-01,8573.99591667
6,S,Sul,2017-01-02,10797.92529167
10,S,Sul,2017-01-03,11899.29954167
14,S,Sul,2017-01-04,12020.903125
18,S,Sul,2017-01-05,11754.75625
22,S,Sul,2017-01-06,11395.111375
26,S,Sul,2017-01-07,10247.13016667
30,S,Sul,2017-01-08,9631.761375
34,S,Sul,2017-01-09,12373.45825
38,S,Sul,2017-01-10,12609.50025
42,S,Sul,2017-01-11,12668.29420833
46,S,Sul,2017-01-12,12676.361125
50,S,Sul,2017-01-13,12875.65291667
54,S,Sul,2017-01-14,11510.314
58,S,Sul,2017-01-15,10367.07933333
62,S,Sul,2017-01-16,13219.74141667
66,S,Sul,2017-01-17,13117.796
70,S,Sul,2017-01-18,13391.40945833
74,S,Sul,2017-01-19,13236.464125
78,S,Sul,2017-01-20,12910.17733333
82,S,Sul,2017-01-21,11212.24345833
86,S,Sul,2017-01-22,9983.5335
90,S,Sul,2017-01-23,12954.14445833
94,S,Sul,2017-01-24,13520.991375
98,S,Sul,2017-01-25,13181.33879167
102,S,Sul,2017-01-26,12600.65645833
106,S,Sul,2017-01-27,12203.22079167
110,S,Sul,2017-01-28,10722.50900417
114,S,Sul,2017-01-29,9690.954375
118,S,Sul,2017-01-30,12747.27458333
122,S,Sul,2017-01-31,12826.55708333
126,S,Sul,2017-02-01,12669.290875
130,S,Sul,2017-02-02,12712.47241667
134,S,Sul,2017-02-03,13066.19008333
138,S,Sul,2017-02-04,11729.63925
142,S,Sul,2017-02-05,10317.92108333
146,S,Sul,2017-02-06,12900.66758333
150,S,Sul,2017-02-07,12974.2025
154,S,Sul,2017-02-08,13045.019
158,S,Sul,2017-02-09,13227.641
162,S,Sul,2017-02-10,13227.52420833
166,S,Sul,2017-02-11,11240.42354167
170,S,Sul,2017-02-12,9604.95308333
174,S,Sul,2017-02-13,12513.91341667
178,S,Sul,2017-02-14,12799.65695833
182,S,Sul,2017-02-15,13450.94333333
186,S,Sul,2017-02-16,13881.037
190,S,Sul,2017-02-17,13309.80720833
194,S,Sul,2017-02-18,11919.618125
198,S,Sul,2017-02-19,10821.48616667
202,S,Sul,2017-02-20,14095.77925
206,S,Sul,2017-02-21,14332.24604167
210,S,Sul,2017-02-22,14291.20558333
214,S,Sul,2017-02-23,13734.51249583
218,S,Sul,2017-02-24,13401.55175
222,S,Sul,2017-02-25,11491.91866667
226,S,Sul,2017-02-26,10037.90391667
230,S,Sul,2017-02-27,11899.57358333
234,S,Sul,2017-02-28,12134.04091667
238,S,Sul,2017-03-01,13274.21466667
242,S,Sul,2017-03-02,13679.25608333
246,S,Sul,2017-03-03,13644.52733333
250,S,Sul,2017-03-04,11240.26791667
254,S,Sul,2017-03-05,9547.21475
258,S,Sul,2017-03-06,12508.59983333
262,S,Sul,2017-03-07,13219.27108333
266,S,Sul,2017-03-08,13477.67741667
270,S,Sul,2017-03-09,13725.963
274,S,Sul,2017-03-10,12931.97433333
278,S,Sul,2017-03-11,10730.63420833
282,S,Sul,2017-03-12,9204.05658333
286,S,Sul,2017-03-13,11339.216
290,S,Sul,2017-03-14,11932.39879167
294,S,Sul,2017-03-15,12667.21795833
298,S,Sul,2017-03-16,12513.240375
302,S,Sul,2017-03-17,11444.897375
306,S,Sul,2017-03-18,9548.77458333
310,S,Sul,2017-03-19,8316.544625
314,S,Sul,2017-03-20,11132.58870833
318,S,Sul,2017-03-21,11670.842375
322,S,Sul,2017-03-22,11926.758
326,S,Sul,2017-03-23,12019.47154167
330,S,Sul,2017-03-24,12096.12366667
334,S,Sul,2017-03-25,10460.04245833
338,S,Sul,2017-03-26,8898.91429167
342,S,Sul,2017-03-27,11524.912375
346,S,Sul,2017-03-28,11781.435625
350,S,Sul,2017-03-29,11749.54104167
354,S,Sul,2017-03-30,11809.5715
358,S,Sul,2017-03-31,11692.63570833
362,S,Sul,2017-04-01,9896.81029167
366,S,Sul,2017-04-02,8692.70904167
370,S,Sul,2017-04-03,11621.272625
374,S,Sul,2017-04-04,12122.884375
378,S,Sul,2017-04-05,11881.400875
382,S,Sul,2017-04-06,11526.8405
386,S,Sul,2017-04-07,11595.10220833
390,S,Sul,2017-04-08,10235.36016667
394,S,Sul,2017-04-09,8957.33233333
398,S,Sul,2017-04-10,11927.10816667
402,S,Sul,2017-04-11,11960.70258333
406,S,Sul,2017-04-12,11592.24808333
410,S,Sul,2017-04-13,11360.59241667
414,S,Sul,2017-04-14,8706.257875
418,S,Sul,2017-04-15,9203.12483333
422,S,Sul,2017-04-16,8289.77291667
426,S,Sul,2017-04-17,11023.51120833
430,S,Sul,2017-04-18,11501.43504167
434,S,Sul,2017-04-19,11507.23983333
438,S,Sul,2017-04-20,11455.95766667
442,S,Sul,2017-04-21,9533.4855
446,S,Sul,2017-04-22,9079.93083333
450,S,Sul,2017-04-23,8226.090625
454,S,Sul,2017-04-24,10968.37275
458,S,Sul,2017-04-25,11318.446125
462,S,Sul,2017-04-26,10725.23741667
466,S,Sul,2017-04-27,10649.98329167
470,S,Sul,2017-04-28,10515.24116667
474,S,Sul,2017-04-29,9148.38604167
478,S,Sul,2017-04-30,7753.10295833
482,S,Sul,2017-05-01,7995.44133333
486,S,Sul,2017-05-02,10642.8155
490,S,Sul,2017-05-03,11128.90979167
494,S,Sul,2017-05-04,11121.695625
498,S,Sul,2017-05-05,11109.474125
502,S,Sul,2017-05-06,9579.31116667
506,S,Sul,2017-05-07,8259.937375
510,S,Sul,2017-05-08,10924.75725
514,S,Sul,2017-05-09,11167.063625
518,S,Sul,2017-05-10,11110.27270833
522,S,Sul,2017-05-11,11186.76504167
526,S,Sul,2017-05-12,11145.946625
530,S,Sul,2017-05-13,9514.72025
534,S,Sul,2017-05-14,7815.858625
538,S,Sul,2017-05-15,10465.17033333
542,S,Sul,2017-05-16,10992.86170833
546,S,Sul,2017-05-17,11049.46870833
550,S,Sul,2017-05-18,10936.90875
554,S,Sul,2017-05-19,10578.15879167
558,S,Sul,2017-05-20,9136.82125
562,S,Sul,2017-05-21,7750.69829167
