,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2002-01-01,4634.74208018
6,S,Sul,2002-01-02,6193.06041654
10,S,Sul,2002-01-03,6610.97083384
14,S,Sul,2002-01-04,6691.91875127
18,S,Sul,2002-01-05,6059.41333415
22,S,Sul,2002-01-06,5195.28375041
26,S,Sul,2002-01-07,6756.82041448
30,S,Sul,2002-01-08,7097.06499964
34,S,Sul,2002-01-09,7205.25833537
38,S,Sul,2002-01-10,7146.73916779
42,S,Sul,2002-01-11,7136.77124939
46,S,Sul,2002-01-12,6277.98374939
50,S,Sul,2002-01-13,5198.4891688
54,S,Sul,2002-01-14,6973.95916748
58,S,Sul,2002-01-15,6917.68041662
62,S,Sul,2002-01-16,6829.73874868
66,S,Sul,2002-01-17,6914.73083242
70,S,Sul,2002-01-18,6967.74832815
74,S,Sul,2002-01-19,6278.27666651
78,S,Sul,2002-01-20,5444.13791631
82,S,Sul,2002-01-21,7291.60750046
86,S,Sul,2002-01-22,7585.30667033
90,S,Sul,2002-01-23,7386.43624608
94,S,Sul,2002-01-24,7433.98166733
98,S,Sul,2002-01-25,7398.62458344
102,S,Sul,2002-01-26,6489.41374741
106,S,Sul,2002-01-27,5412.47958399
110,S,Sul,2002-01-28,7274.57333654
114,S,Sul,2002-01-29,7456.92958425
118,S,Sul,2002-01-30,7633.47791646
122,S,Sul,2002-01-31,7533.75458399
126,S,Sul,2002-02-01,7273.6795845
130,S,Sul,2002-02-02,6195.07166773
134,S,Sul,2002-02-03,5163.59208644
138,S,Sul,2002-02-04,6856.95333552
142,S,Sul,2002-02-05,7306.09333267
146,S,Sul,2002-02-06,7392.8879186
150,S,Sul,2002-02-07,7240.62166697
154,S,Sul,2002-02-08,7184.18625158
158,S,Sul,2002-02-09,6280.12083715
162,S,Sul,2002-02-10,5182.82999725
166,S,Sul,2002-02-11,6370.56958491
170,S,Sul,2002-02-12,6337.87583008
174,S,Sul,2002-02-13,7058.93458379
178,S,Sul,2002-02-14,7263.43374685
182,S,Sul,2002-02-15,7380.09166489
186,S,Sul,2002-02-16,6435.15750529
190,S,Sul,2002-02-17,5312.32624969
194,S,Sul,2002-02-18,7111.44666672
198,S,Sul,2002-02-19,7309.98666789
202,S,Sul,2002-02-20,7308.67833227
206,S,Sul,2002-02-21,7349.23541489
210,S,Sul,2002-02-22,7413.12124914
214,S,Sul,2002-02-23,6455.62791824
218,S,Sul,2002-02-24,5322.89208285
222,S,Sul,2002-02-25,7081.07833099
226,S,Sul,2002-02-26,7541.39250107
230,S,Sul,2002-02-27,7788.17833684
234,S,Sul,2002-02-28,7860.30708516
238,S,Sul,2002-03-01,7607.00874695
242,S,Sul,2002-03-02,6463.93791733
246,S,Sul,2002-03-03,5572.16416779
250,S,Sul,2002-03-04,7564.57166824
254,S,Sul,2002-03-05,7783.83916397
258,S,Sul,2002-03-06,7620.59958267
262,S,Sul,2002-03-07,7717.20708593
266,S,Sul,2002-03-08,7852.80041809
270,S,Sul,2002-03-09,6943.64958394
274,S,Sul,2002-03-10,6072.73874791
278,S,Sul,2002-03-11,7875.21291402
282,S,Sul,2002-03-12,7918.91916809
