,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2007-01-01,5819.78083333
6,S,Sul,2007-01-02,7882.43666667
10,S,Sul,2007-01-03,8462.37041667
14,S,Sul,2007-01-04,8462.26708333
18,S,Sul,2007-01-05,8433.35583333
22,S,Sul,2007-01-06,7485.91625
26,S,Sul,2007-01-07,6337.54875
30,S,Sul,2007-01-08,8149.19625
34,S,Sul,2007-01-09,8692.86416667
38,S,Sul,2007-01-10,9178.37666667
42,S,Sul,2007-01-11,9222.81791667
46,S,Sul,2007-01-12,9111.19916667
50,S,Sul,2007-01-13,7906.29958333
54,S,Sul,2007-01-14,6640.30791667
58,S,Sul,2007-01-15,8489.49208333
62,S,Sul,2007-01-16,8730.59958333
66,S,Sul,2007-01-17,8942.95125
70,S,Sul,2007-01-18,9059.22625
74,S,Sul,2007-01-19,9190.25208333
78,S,Sul,2007-01-20,7710.13166667
82,S,Sul,2007-01-21,6432.33625
86,S,Sul,2007-01-22,8489.23125
90,S,Sul,2007-01-23,9118.52333333
94,S,Sul,2007-01-24,9416.45375
98,S,Sul,2007-01-25,9630.32583333
102,S,Sul,2007-01-26,9473.73666667
106,S,Sul,2007-01-27,8230.95083333
110,S,Sul,2007-01-28,7077.54125
114,S,Sul,2007-01-29,8740.6275
118,S,Sul,2007-01-30,9116.18
122,S,Sul,2007-01-31,9214.50083333
126,S,Sul,2007-02-01,9418.18416667
130,S,Sul,2007-02-02,9238.97333333
134,S,Sul,2007-02-03,8118.54875
138,S,Sul,2007-02-04,6848.35958333
142,S,Sul,2007-02-05,8987.33375
146,S,Sul,2007-02-06,9277.15916667
150,S,Sul,2007-02-07,9349.29625
154,S,Sul,2007-02-08,9317.60791667
158,S,Sul,2007-02-09,9304.49333333
162,S,Sul,2007-02-10,8242.10041667
166,S,Sul,2007-02-11,6767.40666667
170,S,Sul,2007-02-12,8504.10875
174,S,Sul,2007-02-13,8889.775
178,S,Sul,2007-02-14,9143.05791667
182,S,Sul,2007-02-15,9249.76125
186,S,Sul,2007-02-16,9437.71458333
190,S,Sul,2007-02-17,8023.61291667
194,S,Sul,2007-02-18,6450.11166667
198,S,Sul,2007-02-19,7515.33625
202,S,Sul,2007-02-20,7527.96791667
206,S,Sul,2007-02-21,8568.96166667
210,S,Sul,2007-02-22,9078.97666667
214,S,Sul,2007-02-23,9152.10625
218,S,Sul,2007-02-24,7874.36208333
222,S,Sul,2007-02-25,6655.59291667
226,S,Sul,2007-02-26,8934.98958333
230,S,Sul,2007-02-27,9394.99958333
234,S,Sul,2007-02-28,9550.62666667
238,S,Sul,2007-03-01,9642.27291667
242,S,Sul,2007-03-02,9377.53041667
246,S,Sul,2007-03-03,7784.15125
250,S,Sul,2007-03-04,6710.2575
254,S,Sul,2007-03-05,9205.15583333
258,S,Sul,2007-03-06,9501.925
262,S,Sul,2007-03-07,9705.18708333
266,S,Sul,2007-03-08,9711.445
270,S,Sul,2007-03-09,9446.36458333
274,S,Sul,2007-03-10,7886.92125
278,S,Sul,2007-03-11,6578.97458333
282,S,Sul,2007-03-12,8876.41125
286,S,Sul,2007-03-13,9244.97333333
290,S,Sul,2007-03-14,9315.74083333
294,S,Sul,2007-03-15,9412.79166667
298,S,Sul,2007-03-16,9283.31791667
302,S,Sul,2007-03-17,7795.00375
306,S,Sul,2007-03-18,6367.495
310,S,Sul,2007-03-19,8321.46875
314,S,Sul,2007-03-20,8759.0575
318,S,Sul,2007-03-21,8924.98416667
322,S,Sul,2007-03-22,9079.78083333
326,S,Sul,2007-03-23,9334.39833333
330,S,Sul,2007-03-24,8185.3225
334,S,Sul,2007-03-25,6860.85
338,S,Sul,2007-03-26,9017.07583333
342,S,Sul,2007-03-27,9542.97
346,S,Sul,2007-03-28,9848.39041667
350,S,Sul,2007-03-29,9862.39333333
354,S,Sul,2007-03-30,9884.87541667
358,S,Sul,2007-03-31,8324.45083333
362,S,Sul,2007-04-01,6690.32958333
366,S,Sul,2007-04-02,9098.1525
370,S,Sul,2007-04-03,9268.91041667
374,S,Sul,2007-04-04,9018.24208333
378,S,Sul,2007-04-05,8755.11666667
382,S,Sul,2007-04-06,6386.58833333
386,S,Sul,2007-04-07,6650.7575
390,S,Sul,2007-04-08,5914.35791667
394,S,Sul,2007-04-09,8153.09583333
398,S,Sul,2007-04-10,8646.81666667
402,S,Sul,2007-04-11,8931.53333333
406,S,Sul,2007-04-12,8909.14125
410,S,Sul,2007-04-13,8750.64875
414,S,Sul,2007-04-14,7855.2325
418,S,Sul,2007-04-15,6622.6925
422,S,Sul,2007-04-16,8844.61083333
426,S,Sul,2007-04-17,9126.2075
430,S,Sul,2007-04-18,9233.46875
434,S,Sul,2007-04-19,9278.87791667
438,S,Sul,2007-04-20,9316.05166667
442,S,Sul,2007-04-21,7587.6325
446,S,Sul,2007-04-22,6741.3675
450,S,Sul,2007-04-23,9011.36958333
454,S,Sul,2007-04-24,9174.565
458,S,Sul,2007-04-25,8958.13458333
462,S,Sul,2007-04-26,8794.31291667
466,S,Sul,2007-04-27,8392.12791667
470,S,Sul,2007-04-28,7370.98791667
474,S,Sul,2007-04-29,6135.0675
478,S,Sul,2007-04-30,7703.07125
482,S,Sul,2007-05-01,6598.43333333
486,S,Sul,2007-05-02,8497.96875
490,S,Sul,2007-05-03,8703.09416667
494,S,Sul,2007-05-04,8707.37666667
498,S,Sul,2007-05-05,7738.93625
502,S,Sul,2007-05-06,6378.79041667
506,S,Sul,2007-05-07,8345.54958333
510,S,Sul,2007-05-08,8350.27625
514,S,Sul,2007-05-09,8166.59541667
518,S,Sul,2007-05-10,8259.4975
522,S,Sul,2007-05-11,8386.07375
526,S,Sul,2007-05-12,7365.50833333
530,S,Sul,2007-05-13,5996.29125
534,S,Sul,2007-05-14,8051.545
538,S,Sul,2007-05-15,8454.93041667
542,S,Sul,2007-05-16,8610.45333333
546,S,Sul,2007-05-17,8542.26541667
550,S,Sul,2007-05-18,8598.19583333
554,S,Sul,2007-05-19,7479.06708333
558,S,Sul,2007-05-20,6106.93
562,S,Sul,2007-05-21,8275.61208333
566,S,Sul,2007-05-22,8569.59875
570,S,Sul,2007-05-23,8449.54708333
574,S,Sul,2007-05-24,8305.16
578,S,Sul,2007-05-25,8315.00541667
582,S,Sul,2007-05-26,7170.22833333
586,S,Sul,2007-05-27,5813.06541667
590,S,Sul,2007-05-28,8023.43916667
594,S,Sul,2007-05-29,8377.65916667
598,S,Sul,2007-05-30,8493.37541667
602,S,Sul,2007-05-31,8382.97041667
606,S,Sul,2007-06-01,8391.738625
610,S,Sul,2007-06-02,7280.79920833
614,S,Sul,2007-06-03,5908.13520833
618,S,Sul,2007-06-04,7980.39158333
622,S,Sul,2007-06-05,8251.66416667
626,S,Sul,2007-06-06,8151.913625
630,S,Sul,2007-06-07,6841.922625
634,S,Sul,2007-06-08,7786.94304167
638,S,Sul,2007-06-09,7040.21825
642,S,Sul,2007-06-10,6006.08266667
646,S,Sul,2007-06-11,8005.729875
650,S,Sul,2007-06-12,8313.9335
654,S,Sul,2007-06-13,8428.22979167
658,S,Sul,2007-06-14,8571.5075
662,S,Sul,2007-06-15,8565.55870833
666,S,Sul,2007-06-16,7378.42754167
670,S,Sul,2007-06-17,6088.74429167
674,S,Sul,2007-06-18,8181.67441667
678,S,Sul,2007-06-19,8561.713
682,S,Sul,2007-06-20,8612.02983333
686,S,Sul,2007-06-21,8587.18191667
690,S,Sul,2007-06-22,8609.597
694,S,Sul,2007-06-23,7547.5755
698,S,Sul,2007-06-24,6087.06725
702,S,Sul,2007-06-25,8220.02129167
706,S,Sul,2007-06-26,8651.27354167
710,S,Sul,2007-06-27,8696.03475
714,S,Sul,2007-06-28,8570.09991667
718,S,Sul,2007-06-29,8473.66979167
722,S,Sul,2007-06-30,7350.56929167
726,S,Sul,2007-07-01,6051.575625
730,S,Sul,2007-07-02,8140.138625
734,S,Sul,2007-07-03,8562.74116667
738,S,Sul,2007-07-04,8575.22029167
742,S,Sul,2007-07-05,8547.27608333
746,S,Sul,2007-07-06,8619.84691667
750,S,Sul,2007-07-07,7553.052875
754,S,Sul,2007-07-08,6243.81225
758,S,Sul,2007-07-09,8286.75733333
762,S,Sul,2007-07-10,8543.84316667
766,S,Sul,2007-07-11,8521.31583333
770,S,Sul,2007-07-12,8634.01691667
774,S,Sul,2007-07-13,8594.53658333
778,S,Sul,2007-07-14,7471.22766667
782,S,Sul,2007-07-15,6098.32941667
786,S,Sul,2007-07-16,8224.56891667
790,S,Sul,2007-07-17,8649.637125
794,S,Sul,2007-07-18,8527.72683333
798,S,Sul,2007-07-19,8352.574125
802,S,Sul,2007-07-20,8303.27566667
806,S,Sul,2007-07-21,7310.39354167
810,S,Sul,2007-07-22,6154.35591667
814,S,Sul,2007-07-23,8043.27341667
818,S,Sul,2007-07-24,8399.5165
822,S,Sul,2007-07-25,8242.43325
826,S,Sul,2007-07-26,8242.46129167
830,S,Sul,2007-07-27,8296.53058333
834,S,Sul,2007-07-28,7255.90866667
838,S,Sul,2007-07-29,6102.36529167
842,S,Sul,2007-07-30,8238.26275
846,S,Sul,2007-07-31,8440.78341667
850,S,Sul,2007-08-01,8425.86791667
854,S,Sul,2007-08-02,8649.26375
858,S,Sul,2007-08-03,8537.95375
862,S,Sul,2007-08-04,7431.91291667
866,S,Sul,2007-08-05,6111.96625
870,S,Sul,2007-08-06,8171.78041667
874,S,Sul,2007-08-07,8446.54333333
878,S,Sul,2007-08-08,8417.47208333
882,S,Sul,2007-08-09,8502.69291667
886,S,Sul,2007-08-10,8544.17375
890,S,Sul,2007-08-11,7304.59666667
894,S,Sul,2007-08-12,5892.90166667
898,S,Sul,2007-08-13,8166.94375
902,S,Sul,2007-08-14,8539.55291667
906,S,Sul,2007-08-15,8578.69708333
910,S,Sul,2007-08-16,8592.42666667
914,S,Sul,2007-08-17,8607.26875
918,S,Sul,2007-08-18,7549.10375
922,S,Sul,2007-08-19,6192.88375
926,S,Sul,2007-08-20,8149.13625
930,S,Sul,2007-08-21,8450.37041667
934,S,Sul,2007-08-22,8492.97291667
938,S,Sul,2007-08-23,8581.53791667
942,S,Sul,2007-08-24,8624.00125
946,S,Sul,2007-08-25,7581.15333333
950,S,Sul,2007-08-26,6353.68958333
954,S,Sul,2007-08-27,8201.9725
958,S,Sul,2007-08-28,8439.49708333
962,S,Sul,2007-08-29,8484.39541667
966,S,Sul,2007-08-30,8543.47708333
970,S,Sul,2007-08-31,8519.41208333
974,S,Sul,2007-09-01,7339.44833333
978,S,Sul,2007-09-02,6161.513
982,S,Sul,2007-09-03,8214.77833333
986,S,Sul,2007-09-04,8617.98
990,S,Sul,2007-09-05,8776.93754167
994,S,Sul,2007-09-06,8646.92133333
998,S,Sul,2007-09-07,7003.48991667
1002,S,Sul,2007-09-08,6834.84641667
1006,S,Sul,2007-09-09,6206.612125
1010,S,Sul,2007-09-10,8420.714125
1014,S,Sul,2007-09-11,8779.19625
1018,S,Sul,2007-09-12,8870.48758333
1022,S,Sul,2007-09-13,8769.31954167
1026,S,Sul,2007-09-14,8851.77325
1030,S,Sul,2007-09-15,7686.01570833
1034,S,Sul,2007-09-16,6311.16416667
1038,S,Sul,2007-09-17,8364.92375
1042,S,Sul,2007-09-18,8593.88291667
1046,S,Sul,2007-09-19,8580.74916667
1050,S,Sul,2007-09-20,8225.03458333
1054,S,Sul,2007-09-21,8478.57125
1058,S,Sul,2007-09-22,7451.71833333
1062,S,Sul,2007-09-23,6327.64625
1066,S,Sul,2007-09-24,7953.27291667
1070,S,Sul,2007-09-25,8155.75208333
1074,S,Sul,2007-09-26,8386.9675
1078,S,Sul,2007-09-27,8570.40145833
1082,S,Sul,2007-09-28,8590.4565
1086,S,Sul,2007-09-29,7407.02225
1090,S,Sul,2007-09-30,6112.72504167
1094,S,Sul,2007-10-01,8139.43416667
1098,S,Sul,2007-10-02,8502.04083333
1102,S,Sul,2007-10-03,8598.6425
1106,S,Sul,2007-10-04,8683.15191667
1110,S,Sul,2007-10-05,8787.87558333
1114,S,Sul,2007-10-06,7758.92941667
1118,S,Sul,2007-10-07,6487.602
1122,S,Sul,2007-10-08,8506.70833333
1126,S,Sul,2007-10-09,8935.557
1130,S,Sul,2007-10-10,9042.03308333
1134,S,Sul,2007-10-11,8858.74166667
1138,S,Sul,2007-10-12,7047.21458333
1142,S,Sul,2007-10-13,6823.1775
1146,S,Sul,2007-10-14,5762.1675
1150,S,Sul,2007-10-15,8081.58125
1154,S,Sul,2007-10-16,8532.15958333
1158,S,Sul,2007-10-17,8527.12791667
1162,S,Sul,2007-10-18,8610.55666667
1166,S,Sul,2007-10-19,8699.48166667
1170,S,Sul,2007-10-20,7822.51208333
1174,S,Sul,2007-10-21,6369.37375
1178,S,Sul,2007-10-22,8186.86458333
1182,S,Sul,2007-10-23,8435.14333333
1186,S,Sul,2007-10-24,8521.41916667
1190,S,Sul,2007-10-25,8632.42958333
1194,S,Sul,2007-10-26,8920.34875
1198,S,Sul,2007-10-27,7864.81458333
1202,S,Sul,2007-10-28,6637.33875
1206,S,Sul,2007-10-29,8687.45791667
1210,S,Sul,2007-10-30,8915.205
1214,S,Sul,2007-10-31,9060.8475
1218,S,Sul,2007-11-01,8703.93291667
1222,S,Sul,2007-11-02,6820.00416667
1226,S,Sul,2007-11-03,6780.82458333
1230,S,Sul,2007-11-04,5951.54166667
1234,S,Sul,2007-11-05,8021.55041667
1238,S,Sul,2007-11-06,8441.30166667
1242,S,Sul,2007-11-07,8725.85291667
1246,S,Sul,2007-11-08,9086.21708333
1250,S,Sul,2007-11-09,8976.78291667
1254,S,Sul,2007-11-10,7749.65666667
1258,S,Sul,2007-11-11,6267.12041667
1262,S,Sul,2007-11-12,8138.63833333
1266,S,Sul,2007-11-13,8637.74791667
1270,S,Sul,2007-11-14,8632.78208333
1274,S,Sul,2007-11-15,7288.37
1278,S,Sul,2007-11-16,7848.63541667
1282,S,Sul,2007-11-17,7264.5
1286,S,Sul,2007-11-18,6254.49375
1290,S,Sul,2007-11-19,8417.77916667
1294,S,Sul,2007-11-20,8886.13833333
1298,S,Sul,2007-11-21,8861.25583333
1302,S,Sul,2007-11-22,8946.52041667
1306,S,Sul,2007-11-23,8944.95083333
1310,S,Sul,2007-11-24,7924.87041667
1314,S,Sul,2007-11-25,6583.54291667
1318,S,Sul,2007-11-26,8658.20125
1322,S,Sul,2007-11-27,8949.98333333
1326,S,Sul,2007-11-28,9019.70041667
1330,S,Sul,2007-11-29,9039.0175
1334,S,Sul,2007-11-30,9116.21958333
1338,S,Sul,2007-12-01,8111.51791667
1342,S,Sul,2007-12-02,6927.34041667
1346,S,Sul,2007-12-03,9242.4875
1350,S,Sul,2007-12-04,9592.13333333
1354,S,Sul,2007-12-05,9392.11708333
1358,S,Sul,2007-12-06,9118.78791667
1362,S,Sul,2007-12-07,9126.59458333
1366,S,Sul,2007-12-08,8200.67
1370,S,Sul,2007-12-09,7077.24916667
1374,S,Sul,2007-12-10,9460.34166667
1378,S,Sul,2007-12-11,9328.17916667
1382,S,Sul,2007-12-12,9101.88666667
1386,S,Sul,2007-12-13,9150.29458333
1390,S,Sul,2007-12-14,9248.18083333
1394,S,Sul,2007-12-15,8325.87708333
1398,S,Sul,2007-12-16,7173.3075
1402,S,Sul,2007-12-17,9053.24458333
1406,S,Sul,2007-12-18,9348.57625
1410,S,Sul,2007-12-19,9259.38166667
1414,S,Sul,2007-12-20,9166.73458333
1418,S,Sul,2007-12-21,8908.77583333
1422,S,Sul,2007-12-22,8071.2375
1426,S,Sul,2007-12-23,7141.9575
1430,S,Sul,2007-12-24,7065.94166667
1434,S,Sul,2007-12-25,6166.44166667
1438,S,Sul,2007-12-26,8070.61708333
1442,S,Sul,2007-12-27,8553.475
1446,S,Sul,2007-12-28,8519.88958333
1450,S,Sul,2007-12-29,7633.2975
1454,S,Sul,2007-12-30,6693.08083333
1458,S,Sul,2007-12-31,6719.72458333
