,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2003-01-01,5103.96249924
6,S,Sul,2003-01-02,6481.32625122
10,S,Sul,2003-01-03,6654.49708455
14,S,Sul,2003-01-04,6193.48791987
18,S,Sul,2003-01-05,5526.51541723
22,S,Sul,2003-01-06,7111.77708511
26,S,Sul,2003-01-07,7389.25250371
30,S,Sul,2003-01-08,7466.80208003
34,S,Sul,2003-01-09,7723.90833537
38,S,Sul,2003-01-10,7549.9008372
42,S,Sul,2003-01-11,6413.23458481
46,S,Sul,2003-01-12,5506.61249924
50,S,Sul,2003-01-13,7144.95875193
54,S,Sul,2003-01-14,7496.89083277
58,S,Sul,2003-01-15,7659.21291758
62,S,Sul,2003-01-16,7734.92833354
66,S,Sul,2003-01-17,7801.9487531
70,S,Sul,2003-01-18,6837.76541875
74,S,Sul,2003-01-19,5787.65291875
78,S,Sul,2003-01-20,7475.93791911
82,S,Sul,2003-01-21,7692.57458165
86,S,Sul,2003-01-22,7750.55999959
90,S,Sul,2003-01-23,7686.03458328
94,S,Sul,2003-01-24,7448.17875112
98,S,Sul,2003-01-25,6496.97625224
102,S,Sul,2003-01-26,5553.25541458
106,S,Sul,2003-01-27,7282.19041697
110,S,Sul,2003-01-28,7571.91749954
114,S,Sul,2003-01-29,7638.89916662
118,S,Sul,2003-01-30,7795.67082901
122,S,Sul,2003-01-31,7952.05999959
126,S,Sul,2003-02-01,6970.42666524
130,S,Sul,2003-02-02,5802.92208252
134,S,Sul,2003-02-03,7824.27249985
138,S,Sul,2003-02-04,8196.84291458
142,S,Sul,2003-02-05,8095.58249995
146,S,Sul,2003-02-06,8087.31041514
150,S,Sul,2003-02-07,8032.03666738
154,S,Sul,2003-02-08,6838.03416595
158,S,Sul,2003-02-09,5776.20791677
162,S,Sul,2003-02-10,7498.64749858
166,S,Sul,2003-02-11,7658.13999532
170,S,Sul,2003-02-12,7700.56041616
174,S,Sul,2003-02-13,7659.81166814
178,S,Sul,2003-02-14,7539.19624761
182,S,Sul,2003-02-15,6696.8591685
186,S,Sul,2003-02-16,5697.15624802
190,S,Sul,2003-02-17,7307.8791654
194,S,Sul,2003-02-18,7569.31916529
198,S,Sul,2003-02-19,7679.38999863
202,S,Sul,2003-02-20,7669.84333547
206,S,Sul,2003-02-21,7553.9837499
210,S,Sul,2003-02-22,6485.22541656
214,S,Sul,2003-02-23,5620.46666896
218,S,Sul,2003-02-24,7596.80500081
222,S,Sul,2003-02-25,7970.61375249
