,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2000-01-01,4800.65
6,S,Sul,2000-01-02,4899.8
10,S,Sul,2000-01-03,6261.55416667
14,S,Sul,2000-01-04,6733.74166667
18,S,Sul,2000-01-05,6961.17083333
22,S,Sul,2000-01-06,7110.3625
26,S,Sul,2000-01-07,7105.35416667
30,S,Sul,2000-01-08,6307.4875
34,S,Sul,2000-01-09,5523.62083333
38,S,Sul,2000-01-10,7111.32083333
42,S,Sul,2000-01-11,7435.05833333
46,S,Sul,2000-01-12,7425.49166667
50,S,Sul,2000-01-13,7505.575
54,S,Sul,2000-01-14,7532.275
58,S,Sul,2000-01-15,6435.9125
62,S,Sul,2000-01-16,5621.175
66,S,Sul,2000-01-17,7234.96666667
70,S,Sul,2000-01-18,7517.37291667
74,S,Sul,2000-01-19,7391.79583333
78,S,Sul,2000-01-20,7365.1125
82,S,Sul,2000-01-21,7386.47916667
86,S,Sul,2000-01-22,6688.71666667
90,S,Sul,2000-01-23,5616.00416667
94,S,Sul,2000-01-24,7137.69583333
98,S,Sul,2000-01-25,7416.225
102,S,Sul,2000-01-26,7229.73333333
106,S,Sul,2000-01-27,7112.175
110,S,Sul,2000-01-28,7059.62916667
114,S,Sul,2000-01-29,6214.3125
118,S,Sul,2000-01-30,5442.13333333
122,S,Sul,2000-01-31,6939.6875
126,S,Sul,2000-02-01,7101.74166667
130,S,Sul,2000-02-02,7031.08333333
134,S,Sul,2000-02-03,7394.05
138,S,Sul,2000-02-04,7227.8375
142,S,Sul,2000-02-05,6193.5
146,S,Sul,2000-02-06,5421.05416667
150,S,Sul,2000-02-07,7014.42083333
154,S,Sul,2000-02-08,7292.05
158,S,Sul,2000-02-09,7389.07083333
162,S,Sul,2000-02-10,7461.0
166,S,Sul,2000-02-11,7537.10416667
170,S,Sul,2000-02-12,6704.83333333
174,S,Sul,2000-02-13,5621.87083333
178,S,Sul,2000-02-14,7096.34166667
182,S,Sul,2000-02-15,7205.73333333
186,S,Sul,2000-02-16,7057.275
190,S,Sul,2000-02-17,6999.0375
194,S,Sul,2000-02-18,6977.51666667
198,S,Sul,2000-02-19,6249.7
202,S,Sul,2000-02-20,5356.96666667
206,S,Sul,2000-02-21,6987.70833333
210,S,Sul,2000-02-22,7280.1625
214,S,Sul,2000-02-23,7296.4625
218,S,Sul,2000-02-24,7454.975
222,S,Sul,2000-02-25,7519.50833333
226,S,Sul,2000-02-26,6667.82083333
230,S,Sul,2000-02-27,5624.71666667
234,S,Sul,2000-02-28,7223.2625
238,S,Sul,2000-02-29,7347.80416667
242,S,Sul,2000-03-01,7344.59166667
246,S,Sul,2000-03-02,7500.8625
250,S,Sul,2000-03-03,7428.8625
254,S,Sul,2000-03-04,6430.975
258,S,Sul,2000-03-05,5449.625
262,S,Sul,2000-03-06,6348.71666667
266,S,Sul,2000-03-07,6131.35
270,S,Sul,2000-03-08,6789.9625
274,S,Sul,2000-03-09,7020.40416667
278,S,Sul,2000-03-10,7106.22083333
282,S,Sul,2000-03-11,6348.4
286,S,Sul,2000-03-12,5342.35833333
290,S,Sul,2000-03-13,7035.9
294,S,Sul,2000-03-14,7364.44166667
298,S,Sul,2000-03-15,7451.60833333
302,S,Sul,2000-03-16,7565.32916667
306,S,Sul,2000-03-17,7564.2625
310,S,Sul,2000-03-18,6542.55416667
314,S,Sul,2000-03-19,5408.80291667
318,S,Sul,2000-03-20,7058.7375
322,S,Sul,2000-03-21,7358.02083333
326,S,Sul,2000-03-22,7396.52083333
330,S,Sul,2000-03-23,7490.64583333
334,S,Sul,2000-03-24,7372.3375
338,S,Sul,2000-03-25,6409.21666667
342,S,Sul,2000-03-26,5376.0375
346,S,Sul,2000-03-27,7080.49166667
350,S,Sul,2000-03-28,7043.05833333
354,S,Sul,2000-03-29,6950.3375
358,S,Sul,2000-03-30,7101.57916667
362,S,Sul,2000-03-31,7143.63333333
366,S,Sul,2000-04-01,6325.97083333
370,S,Sul,2000-04-02,5212.1
374,S,Sul,2000-04-03,6825.775
378,S,Sul,2000-04-04,7058.24583333
382,S,Sul,2000-04-05,7241.30416667
386,S,Sul,2000-04-06,7353.9
390,S,Sul,2000-04-07,7464.47916667
394,S,Sul,2000-04-08,6758.08333333
398,S,Sul,2000-04-09,5727.97083333
402,S,Sul,2000-04-10,7432.96666667
406,S,Sul,2000-04-11,7535.6375
410,S,Sul,2000-04-12,7345.09166667
414,S,Sul,2000-04-13,7236.44166667
418,S,Sul,2000-04-14,7265.3875
422,S,Sul,2000-04-15,6530.725
426,S,Sul,2000-04-16,5518.3625
430,S,Sul,2000-04-17,7116.06916667
434,S,Sul,2000-04-18,7169.69583333
438,S,Sul,2000-04-19,7086.29166667
442,S,Sul,2000-04-20,6825.3125
446,S,Sul,2000-04-21,5016.91666667
450,S,Sul,2000-04-22,5473.55833333
454,S,Sul,2000-04-23,4898.14166667
458,S,Sul,2000-04-24,6705.77916667
462,S,Sul,2000-04-25,7118.34583333
466,S,Sul,2000-04-26,7292.84166667
470,S,Sul,2000-04-27,7372.71833333
474,S,Sul,2000-04-28,7426.82916667
478,S,Sul,2000-04-29,6589.325
482,S,Sul,2000-04-30,5445.24166667
486,S,Sul,2000-05-01,5323.6625
490,S,Sul,2000-05-02,7043.13333333
494,S,Sul,2000-05-03,7266.16666667
498,S,Sul,2000-05-04,7332.225
502,S,Sul,2000-05-05,7344.5125
506,S,Sul,2000-05-06,6112.81666667
510,S,Sul,2000-05-07,5040.70416667
514,S,Sul,2000-05-08,6771.77916667
518,S,Sul,2000-05-09,7026.0125
522,S,Sul,2000-05-10,7041.4
526,S,Sul,2000-05-11,7035.50416667
530,S,Sul,2000-05-12,7143.43333333
534,S,Sul,2000-05-13,6329.72083333
538,S,Sul,2000-05-14,5152.625
542,S,Sul,2000-05-15,6982.1375
546,S,Sul,2000-05-16,7272.5875
550,S,Sul,2000-05-17,7108.5625
554,S,Sul,2000-05-18,7113.15416667
558,S,Sul,2000-05-19,7077.64166667
562,S,Sul,2000-05-20,6244.45
566,S,Sul,2000-05-21,5131.20833333
570,S,Sul,2000-05-22,6748.5625
574,S,Sul,2000-05-23,7058.74166667
578,S,Sul,2000-05-24,7158.725
582,S,Sul,2000-05-25,7212.05833333
586,S,Sul,2000-05-26,7036.2375
590,S,Sul,2000-05-27,6205.15416667
594,S,Sul,2000-05-28,4995.6125
598,S,Sul,2000-05-29,6712.9
602,S,Sul,2000-05-30,7034.975
606,S,Sul,2000-05-31,7065.32083333
610,S,Sul,2000-06-01,7006.60833333
614,S,Sul,2000-06-02,7038.0875
618,S,Sul,2000-06-03,6222.5
622,S,Sul,2000-06-04,5127.49166667
626,S,Sul,2000-06-05,6935.52916667
630,S,Sul,2000-06-06,7290.8
634,S,Sul,2000-06-07,7355.0
638,S,Sul,2000-06-08,7264.625
642,S,Sul,2000-06-09,7188.56666667
646,S,Sul,2000-06-10,6372.0
650,S,Sul,2000-06-11,5189.73333333
654,S,Sul,2000-06-12,6947.52916667
658,S,Sul,2000-06-13,7150.15
662,S,Sul,2000-06-14,7291.47083333
666,S,Sul,2000-06-15,7328.83333333
670,S,Sul,2000-06-16,7342.46666667
674,S,Sul,2000-06-17,6433.6875
678,S,Sul,2000-06-18,5259.54583333
682,S,Sul,2000-06-19,6953.09583333
686,S,Sul,2000-06-20,7168.29583333
690,S,Sul,2000-06-21,7003.50416667
694,S,Sul,2000-06-22,5770.6375
698,S,Sul,2000-06-23,6591.97916667
702,S,Sul,2000-06-24,5986.43333333
706,S,Sul,2000-06-25,5232.40833333
710,S,Sul,2000-06-26,6975.55833333
714,S,Sul,2000-06-27,7170.77916667
718,S,Sul,2000-06-28,7267.12083333
722,S,Sul,2000-06-29,7206.00833333
726,S,Sul,2000-06-30,7062.47083333
730,S,Sul,2000-07-01,6234.05
734,S,Sul,2000-07-02,5163.06666667
738,S,Sul,2000-07-03,6735.55833333
742,S,Sul,2000-07-04,6998.4625
746,S,Sul,2000-07-05,7175.69583333
750,S,Sul,2000-07-06,7188.49166667
754,S,Sul,2000-07-07,7243.15
758,S,Sul,2000-07-08,6412.1375
762,S,Sul,2000-07-09,5346.39166667
766,S,Sul,2000-07-10,7017.20416667
770,S,Sul,2000-07-11,7136.76666667
774,S,Sul,2000-07-12,7049.60833333
778,S,Sul,2000-07-13,6986.525
782,S,Sul,2000-07-14,7055.7875
786,S,Sul,2000-07-15,6314.0125
790,S,Sul,2000-07-16,5110.67916667
794,S,Sul,2000-07-17,6697.58333333
798,S,Sul,2000-07-18,7153.28041667
802,S,Sul,2000-07-19,7174.71666667
806,S,Sul,2000-07-20,7007.45
810,S,Sul,2000-07-21,6964.2125
814,S,Sul,2000-07-22,6287.9875
818,S,Sul,2000-07-23,5096.75416667
822,S,Sul,2000-07-24,6717.35416667
826,S,Sul,2000-07-25,6928.28333333
830,S,Sul,2000-07-26,6963.675
834,S,Sul,2000-07-27,6902.4875
838,S,Sul,2000-07-28,7002.82916667
842,S,Sul,2000-07-29,6211.61666667
846,S,Sul,2000-07-30,5158.9125
850,S,Sul,2000-07-31,6859.27916667
854,S,Sul,2000-08-01,7079.14583333
858,S,Sul,2000-08-02,7047.79166667
862,S,Sul,2000-08-03,7104.34583333
866,S,Sul,2000-08-04,6957.0875
870,S,Sul,2000-08-05,6100.82916667
874,S,Sul,2000-08-06,5035.50833333
878,S,Sul,2000-08-07,6745.30833333
882,S,Sul,2000-08-08,7124.775
886,S,Sul,2000-08-09,7147.77916667
890,S,Sul,2000-08-10,7173.09583333
894,S,Sul,2000-08-11,7085.32916667
898,S,Sul,2000-08-12,6187.9875
902,S,Sul,2000-08-13,5128.3625
906,S,Sul,2000-08-14,6932.15833333
910,S,Sul,2000-08-15,7228.1
